Classification,Actual Offenses,Total Offenses Cleared,% Cleared,Juvenile Clearances,% Clearances Involving Juveniles
Total Murder and Non-Negligent Manslaughter,11,7,63.60%,0,0.00%
Total Forcible Rape,158,38,24.10%,4,10.50%
a. Rape by Force,143,35,24.50%,3,8.60%
b. Attempted Rape,15,3,20.00%,1,33.30%
Total Robbery,54,26,48.10%,2,7.70%
a. Firearms,14,7,50.00%,0,0.00%
b. Cutting Instrument,8,5,62.50%,0,0.00%
c. Other Weapon,7,3,42.90%,1,33.30%
d. Strong-Arm,25,11,44.00%,1,9.10%
Total Assaults,870,587,67.50%,39,6.60%
a. Firearms,95,71,74.70%,2,2.80%
b. Cutting Instrument,138,96,69.60%,6,6.30%
c. Other Weapon,225,158,70.20%,21,13.30%
"d. Hands, Fists & Feet",412,262,63.60%,10,3.80%
Total Burglary,"1,648",252,15.60%,34,13.50%
a. Forcible Entry,735,111,15.10%,18,16.20%
b. Unlawful Entry - No Force,844,131,15.50%,13,9.90%
c. Attempted Forcible Entry,69,10,14.50%,3,30.00%
Total Larceny-Theft,"8,274","2,173",26.30%,385,17.70%
Total Motor Vehicle Theft,542,141,26.00%,31,22.00%
a. Autos,349,99,28.40%,22,22.20%
b. Trucks,97,23,23.70%,4,17.40%
c. Other Vehicles,96,19,19.80%,5,26.30%
Violent Crimes,"1,093",658,60.20%,45,6.80%
Property Crimes,"10,464","2,566",24.60%,450,17.50%
Total Arson,41,7,17.10%,4,57.10%
a. Structural,25,4,16.00%,1,25.00%
b. Mobile,8,0,0.00%,0,0.00%
c. Other,8,3,37.50%,3,100.00%
