"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2003 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","31,500","2,400","5,600","20","--","*","--","9","--","--"
"Big Horn","11,200","1,500","2,900","40","--","*","--","14","--","--"
"Campbell","36,400","4,900","10,100","96","--","17","--","15","--","--"
"Carbon","15,400","1,600","3,300","21","--","8","--","12","--","--"
"Converse","12,300","1,600","3,000","23","--","7","--","20","--","--"
"Crook","6,000","800","1,400","6","--","5","--","0","--","--"
"Fremont","36,100","4,400","9,100","54","--","9","--","18","--","--"
"Goshen","12,200","1,400","2,700","14","--","14","--","13","--","--"
"Hot Springs","4,600","500","900","10","--","*","--","6","--","--"
"Johnson","7,600","800","1,600","5","--","*","--","6","--","--"
"Laramie","84,400","9,700","20,800","114","--","58","--","47","--","--"
"Lincoln","15,200","2,100","4,100","29","--","11","--","5","--","--"
"Natrona","68,200","7,800","16,500","75","--","21","--","68","--","--"
"Niobrara","2,300","300","400","7","--","*","--","*","--","--"
"Park","26,300","2,900","5,700","49","--","8","--","33","--","--"
"Platte","8,700","1,000","1,900","12","--","11","--","12","--","--"
"Sheridan","27,100","3,000","5,900","37","--","39","--","25","--","--"
"Sublette","6,400","800","1,500","6","--","*","--","*","--","--"
"Sweetwater","37,200","4,700","9,700","128","--","53","--","25","--","--"
"Teton","18,700","1,600","3,500","28","--","7","--","5","--","--"
"Uinta","19,800","2,900","5,900","44","--","10","--","16","--","--"
"Washakie","7,900","1,100","2,000","13","--","0","--","*","--","--"
"Weston","6,700","700","1,400","7","--","*","--","0","--","--"

"Number of Reported Cases",,,,"838","--","291","--","357","--","--"
"Population Represented","502,100","58,400","120,000","58,400","--","58,400","--","120,000","--","--"
"Rates for Reporting Counties",,,,"14.34","--","4.98","--","2.97","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Wyoming Court Services"
"1. Delinquency figures are petitions filed."
"2. Status figures are petitions filed."
"3. Dependency figures are petitions filed."

"Suggested citation:Stahl, A., Livsey, S., and Kang, W. (2006)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
