"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2011 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","36,900","2,400","6,100","32","--","*","--","19","--","--"
"Big Horn","11,700","1,400","3,000","16","--","*","--","15","--","--"
"Campbell","46,600","5,400","13,100","85","--","26","--","62","--","--"
"Carbon","15,800","1,600","3,700","20","--","15","--","23","--","--"
"Converse","13,700","1,500","3,400","23","--","7","--","17","--","--"
"Crook","7,100","700","1,700","*","--","*","--","7","--","--"
"Fremont","40,600","4,200","10,400","29","--","*","--","26","--","--"
"Goshen","13,600","1,300","2,700","31","--","13","--","9","--","--"
"Hot Springs","4,800","400","900","21","--","*","--","11","--","--"
"Johnson","8,600","800","1,900","10","--","*","--","12","--","--"
"Laramie","92,600","9,400","22,300","99","--","30","--","46","--","--"
"Lincoln","18,000","2,200","5,000","26","--","0","--","5","--","--"
"Natrona","76,400","7,700","18,100","62","--","14","--","119","--","--"
"Niobrara","2,500","200","400","*","--","*","--","*","--","--"
"Park","28,500","2,700","6,000","38","--","13","--","22","--","--"
"Platte","8,700","800","1,700","39","--","8","--","14","--","--"
"Sheridan","29,300","2,800","6,400","23","--","20","--","27","--","--"
"Sublette","10,100","1,100","2,400","13","--","8","--","*","--","--"
"Sweetwater","44,000","4,900","11,900","112","--","28","--","56","--","--"
"Teton","21,500","1,700","4,200","12","--","*","--","5","--","--"
"Uinta","20,900","2,800","6,300","20","--","*","--","12","--","--"
"Washakie","8,500","1,000","2,100","16","--","*","--","6","--","--"
"Weston","7,100","700","1,600","*","--","0","--","*","--","--"

"Number of Reported Cases",,,,"733","--","199","--","520","--","--"
"Population Represented","567,600","57,800","135,400","57,800","--","57,800","--","135,400","--","--"
"Rates for Reporting Counties",,,,"12.69","--","3.45","--","3.84","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Wyoming District Court"
"1. Delinquency figures are cases petitioned for fiscal year 2011."
"2. Status figures are cases petitioned for fiscal year 2011."
"3. Dependency figures are abuse and/or neglect petitions and Department of Family Services termination of parental rights petitions for fiscal year 2011."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2018)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
