"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2015 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","38,100","2,400","6,200","24","--","*","--","13","--","--"
"Big Horn","12,000","1,500","3,100","14","--","5","--","14","--","--"
"Campbell","49,300","5,800","13,900","110","--","30","--","100","--","--"
"Carbon","15,600","1,600","3,700","10","--","8","--","165","--","--"
"Converse","14,300","1,600","3,700","32","--","10","--","32","--","--"
"Crook","7,400","800","1,800","7","--","*","--","7","--","--"
"Fremont","40,400","4,300","10,300","52","--","8","--","49","--","--"
"Goshen","13,600","1,300","2,800","15","--","5","--","13","--","--"
"Hot Springs","4,700","400","1,000","*","--","*","--","5","--","--"
"Johnson","8,600","800","1,900","11","--","*","--","14","--","--"
"Laramie","97,200","9,900","22,900","165","--","32","--","91","--","--"
"Lincoln","18,800","2,300","5,100","8","--","6","--","7","--","--"
"Natrona","82,200","8,300","19,900","37","--","20","--","78","--","--"
"Niobrara","2,500","200","500","*","--","0","--","*","--","--"
"Park","29,100","2,600","5,900","25","--","15","--","32","--","--"
"Platte","8,800","800","1,800","19","--","16","--","16","--","--"
"Sheridan","30,100","2,900","6,500","21","--","12","--","25","--","--"
"Sublette","9,900","1,000","2,400","11","--","*","--","7","--","--"
"Sweetwater","44,700","5,200","12,100","78","--","44","--","87","--","--"
"Teton","23,100","1,800","4,300","14","--","*","--","*","--","--"
"Uinta","20,800","2,700","6,200","33","--","0","--","23","--","--"
"Washakie","8,300","1,000","2,000","12","--","0","--","12","--","--"
"Weston","7,200","700","1,600","8","--","0","--","8","--","--"

"Number of Reported Cases",,,,"710","--","224","--","803","--","--"
"Population Represented","586,600","59,900","139,500","59,900","--","59,900","--","139,500","--","--"
"Rates for Reporting Counties",,,,"11.85","--","3.74","--","5.75","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Wyoming District Court"
"1. Delinquency figures are cases petitioned for fiscal year 2015."
"2. Status figures are cases petitioned for fiscal year 2015."
"3. Dependency figures are abuse and/or neglect petitions and Department of Family Services termination of parental rights petitions for fiscal year 2015."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2018)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
