Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Total Children in Care,6,9,9,10,11,12,15,18,
Total Family-like setting,0,0,0,1,2,2,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,1,2,2,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,6,9,9,9,9,10,14,17,
Group Home,1,1,1,2,0,0,2,2,
Residential Treatment,1,2,3,3,5,5,6,6,
Psychiatric RTC,0,0,0,0,0,0,0,0,
Boys School,2,2,3,3,3,4,4,7,
Girls School,2,2,2,1,1,1,2,2,
Detention,0,2,0,0,0,0,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2012","Feb 29, 2012","Mar 31, 2012","Apr 30, 2012","May 31, 2012","Jun 30, 2012","Jul 31, 2012","Aug 31, 2012",
Report Period,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,
Total Children in Care,18,22,25,27,25,25,27,28,
Total Family-like setting,2,2,2,3,2,2,2,2,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,2,2,2,2,2,2,2,2,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,1,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,16,20,23,24,23,23,25,26,
Group Home,2,3,3,4,3,2,4,4,
Residential Treatment,6,7,8,8,7,8,8,7,
Psychiatric RTC,0,1,1,1,1,1,0,1,
Boys School,6,7,8,7,7,7,7,9,
Girls School,2,2,2,3,3,3,3,4,
Detention,0,0,0,0,2,2,3,1,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,1,1,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2012","Oct 31, 2012","Nov 30, 2012","Dec 31, 2012","Jan 31, 2013","Feb 28, 2013","Mar 31, 2013","Apr 30, 2013",
Report Period,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,
Total Children in Care,30,29,22,18,20,21,18,18,
Total Family-like setting,3,4,3,2,2,2,2,2,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,2,3,3,2,2,2,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,1,1,0,0,0,0,1,1,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,27,25,19,15,17,18,16,16,
Group Home,7,7,5,3,5,6,7,6,
Residential Treatment,7,7,5,5,6,5,4,4,
Psychiatric RTC,1,1,1,1,0,2,1,1,
Boys School,8,7,6,5,5,3,2,4,
Girls School,3,3,2,1,1,1,0,0,
Detention,0,0,0,0,0,1,0,0,
Crisis Center,0,0,0,0,0,0,1,1,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,1,0,0,0,0,0,1,0,
Runaway,0,0,0,1,1,1,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2013","Jun 30, 2013","Jul 31, 2013","Aug 31, 2013","Sep 30, 2013","Oct 31, 2013","Nov 30, 2013","Dec 31, 2013",
