period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,3,5,0,0
Feb 2012,9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,8,1,2,4,0,0
Mar 2012,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,9,1,3,4,0,0
Apr 2012,12,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,9,0,0,0,11,1,3,4,0,0
May 2012,14,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,9,0,0,1,11,1,5,3,0,0
Jun 2012,16,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,9,0,0,1,13,1,6,3,0,0
Jul 2012,18,2,0,0,0,0,0,3,0,0,0,2,1,0,0,0,1,0,9,0,0,1,15,1,6,3,0,0
Aug 2012,22,2,0,0,0,0,0,4,0,0,0,2,1,0,0,0,1,0,9,0,0,1,19,1,7,5,0,0
Sep 2012,24,3,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,2,9,0,0,1,22,0,7,6,0,0
Oct 2012,31,2,0,0,0,0,0,6,0,0,1,2,1,0,0,0,1,1,9,0,1,0,29,0,10,8,0,0
Nov 2012,34,2,0,0,0,0,0,6,0,1,2,1,1,0,0,0,1,2,9,0,0,1,32,0,11,7,0,0
Dec 2012,39,3,0,0,0,0,0,5,0,1,1,1,1,0,1,0,1,2,9,0,0,1,37,0,11,12,0,0
Jan 2013,34,3,0,0,0,0,0,5,0,1,0,1,1,0,0,0,1,1,9,0,0,1,32,0,11,10,0,0
Feb 2013,35,4,0,0,0,0,0,6,0,1,0,2,1,0,0,0,0,0,9,0,1,1,32,0,11,10,0,0
Mar 2013,30,4,0,0,0,0,0,4,0,1,0,3,1,0,0,0,0,0,9,0,2,1,26,0,8,9,0,0
Apr 2013,32,5,0,0,0,0,0,5,0,1,0,4,1,0,0,0,2,0,9,0,3,0,28,0,8,7,0,0
May 2013,27,3,1,0,0,0,0,4,0,1,0,4,1,0,0,0,0,0,9,0,2,0,23,0,5,10,0,0
Jun 2013,25,3,1,0,0,0,0,4,0,1,0,5,1,0,0,0,0,1,9,0,3,0,19,0,5,5,0,1
Jul 2013,23,3,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,0,9,0,1,0,20,0,5,8,0,1
Aug 2013,18,2,0,0,0,0,0,3,0,1,0,3,1,0,0,0,0,0,9,0,2,1,13,0,3,4,0,1
Sep 2013,18,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,9,0,1,0,16,0,3,5,0,1
Oct 2013,15,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,9,0,1,0,13,0,2,5,0,1
Nov 2013,15,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,2,5,0,1
Dec 2013,19,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,9,0,0,0,18,0,2,7,0,1
Jan 2014,22,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,21,0,3,9,0,1
Feb 2014,26,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,9,0,0,0,26,0,3,10,0,0
