period,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Total Children in Care,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,1,0,0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,1,1,0,1,0,15,3,13,0,0,0
Feb 2012,1,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,1,0,0,0,18,3,17,0,0,0
Mar 2012,1,1,0,0,0,0,0,0,1,27,0,5,0,0,0,0,0,1,1,0,0,0,22,4,19,0,0,0
Apr 2012,2,1,0,0,0,0,0,0,2,30,0,6,0,0,0,0,0,2,1,0,0,0,24,5,18,0,0,0
May 2012,2,1,0,0,0,0,1,0,2,33,0,6,0,0,0,0,0,2,1,0,0,0,27,5,20,0,0,0
Jun 2012,3,1,0,0,0,0,3,0,2,36,0,7,0,0,0,0,1,2,1,0,0,0,29,6,18,0,0,0
Jul 2012,4,1,0,0,0,0,4,0,2,38,0,6,0,0,0,0,0,3,1,0,0,0,32,5,19,0,0,0
Aug 2012,8,1,0,0,0,0,6,0,2,41,0,6,0,0,0,0,0,1,1,0,0,0,35,5,18,0,0,0
Sep 2012,8,1,0,0,0,0,6,0,2,43,0,6,0,0,0,0,0,3,1,0,0,0,37,5,18,0,0,0
Oct 2012,10,0,0,0,0,0,6,0,2,46,0,5,0,0,0,0,0,2,1,0,0,0,41,5,21,0,0,0
Nov 2012,12,0,0,0,0,0,6,0,2,55,0,7,0,0,0,0,0,5,1,0,0,0,48,7,23,0,0,0
Dec 2012,11,0,0,0,0,0,7,0,2,60,0,6,0,0,0,0,2,7,1,0,0,0,54,6,25,0,0,0
Jan 2013,11,0,0,0,0,0,9,0,1,57,0,7,0,0,0,0,0,5,1,0,0,0,50,7,23,1,0,0
Feb 2013,11,1,0,0,0,0,7,0,1,56,0,8,0,0,0,0,0,7,1,0,0,0,48,7,22,0,0,0
Mar 2013,7,0,0,0,0,0,7,0,3,60,0,11,0,0,0,0,0,8,1,0,1,0,49,10,23,1,0,0
Apr 2013,6,0,0,0,0,0,7,0,5,62,0,9,0,0,0,0,0,10,1,0,1,0,53,8,24,1,0,0
May 2013,5,0,0,0,0,0,13,0,5,70,0,10,0,0,0,0,0,8,1,0,2,1,59,8,27,1,0,0
Jun 2013,6,0,0,0,0,0,13,0,5,76,0,10,0,0,0,0,0,9,1,0,1,0,66,9,32,1,0,0
Jul 2013,8,0,0,0,0,0,15,0,5,80,0,10,0,0,0,0,0,8,1,0,3,0,70,7,33,1,0,0
Aug 2013,7,0,0,0,0,0,12,0,4,70,0,9,0,0,0,0,1,5,1,0,1,0,61,8,31,1,0,0
Sep 2013,7,0,0,0,0,0,14,0,4,61,0,5,0,0,0,0,1,1,1,0,0,0,56,5,28,1,0,0
