period,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Total Children in Care,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,5,0,0,0,6,0,1,1,0,0
Feb 2012,0,0,0,0,0,0,2,0,2,9,0,0,0,0,0,0,0,2,5,0,0,0,9,0,2,1,0,0
Mar 2012,0,0,0,0,0,0,3,0,2,9,0,0,0,0,0,0,0,0,5,0,0,0,9,0,3,1,0,0
Apr 2012,0,0,0,0,0,0,3,0,1,10,0,1,0,0,0,0,0,0,5,0,0,0,9,1,3,2,0,0
May 2012,0,0,0,0,0,0,3,0,1,11,0,2,0,0,0,0,0,0,5,0,0,0,9,2,5,0,0,0
Jun 2012,0,0,0,0,0,0,4,0,1,12,0,2,0,0,0,0,0,0,5,0,0,0,10,2,5,0,0,0
Jul 2012,0,0,0,0,0,0,4,0,2,15,0,1,0,0,0,0,0,0,5,0,0,0,14,1,6,2,0,0
Aug 2012,0,0,0,0,0,0,7,0,2,18,0,1,0,0,0,0,0,0,5,0,0,0,17,1,6,2,0,0
Sep 2012,0,0,0,0,0,0,6,0,2,18,0,2,0,0,0,0,0,0,5,0,0,0,16,2,6,2,0,0
Oct 2012,1,0,0,0,0,0,7,0,2,22,0,2,0,0,0,0,0,0,5,0,0,0,20,2,7,3,0,0
Nov 2012,1,0,0,0,0,0,8,1,2,25,0,2,0,0,0,0,0,0,5,0,0,0,23,2,8,3,0,0
Dec 2012,1,0,1,0,0,0,7,1,3,27,0,3,0,0,0,0,0,0,5,0,0,0,24,2,8,4,0,0
Jan 2013,1,0,0,0,0,0,7,0,3,25,0,2,0,0,0,0,0,2,5,0,0,0,23,2,7,3,0,0
Feb 2013,1,0,0,0,0,0,7,0,3,25,0,2,0,0,0,0,0,2,5,0,0,0,23,2,8,2,0,0
Mar 2013,0,0,0,0,0,0,7,0,3,27,0,2,0,0,0,0,0,3,5,0,0,0,25,2,8,4,0,0
Apr 2013,1,0,0,0,0,0,9,0,4,28,0,2,0,0,0,0,0,1,5,0,0,0,26,2,7,4,0,0
May 2013,1,0,1,0,0,0,8,0,3,30,0,3,0,0,1,0,0,0,5,0,0,0,27,2,7,7,0,0
Jun 2013,1,0,1,0,0,0,7,0,3,29,0,4,0,0,0,0,0,0,5,0,0,0,25,3,7,7,0,0
Jul 2013,1,0,0,0,0,0,6,0,2,22,0,3,0,0,0,0,0,0,5,0,0,0,19,3,5,5,0,0
Aug 2013,1,0,0,0,0,0,5,0,1,18,0,2,0,0,0,0,0,0,5,0,0,1,15,2,5,3,0,0
Sep 2013,0,0,0,0,0,0,5,0,1,20,0,2,0,0,0,0,0,0,5,0,0,1,17,2,6,5,0,0
