period,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Total Children in Care,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,0,1,0,0,0,0,1,0,2,14,0,2,1,0,0,0,0,1,8,0,0,0,12,0,7,1,0,0
Feb 2012,0,1,0,0,0,0,1,0,2,14,0,2,1,0,0,0,0,1,8,0,0,0,12,0,7,1,0,0
Mar 2012,0,0,0,0,0,0,1,0,2,17,0,1,1,0,0,0,0,3,8,0,0,0,16,0,7,3,0,0
Apr 2012,1,0,0,0,0,0,1,0,2,17,0,1,1,0,0,0,0,2,8,0,0,0,16,0,7,3,0,0
May 2012,1,0,0,0,0,0,1,0,2,17,0,1,1,0,0,0,0,1,8,0,0,0,16,0,8,3,0,0
Jun 2012,1,0,0,0,0,0,3,0,2,19,0,1,1,0,0,0,0,0,8,0,0,0,18,0,10,2,0,0
Jul 2012,2,0,0,0,0,0,3,0,2,21,0,1,1,0,0,0,1,0,8,0,0,0,20,0,11,1,0,0
Aug 2012,2,0,0,0,0,0,2,0,2,22,0,2,1,0,0,0,0,0,8,0,0,0,20,1,12,2,0,0
Sep 2012,2,0,0,0,0,0,2,0,2,23,0,3,1,0,0,0,0,0,8,0,1,0,20,1,12,2,0,0
Oct 2012,4,0,0,0,0,0,4,0,1,27,0,3,1,0,0,0,0,0,8,0,2,0,24,0,12,3,0,0
Nov 2012,4,0,0,0,0,0,6,0,1,29,0,3,1,0,0,0,0,0,8,0,2,0,26,0,12,3,0,0
Dec 2012,5,0,0,0,0,0,6,0,1,30,0,4,1,0,0,0,0,1,8,0,3,0,26,0,10,3,0,0
Jan 2013,6,1,0,0,0,0,5,0,1,33,0,7,1,0,0,0,0,1,8,0,2,0,26,3,9,4,0,0
Feb 2013,6,1,0,0,0,0,7,0,1,32,0,6,1,0,0,0,0,0,8,0,1,0,26,3,9,3,0,0
Mar 2013,6,1,0,0,0,0,9,0,1,33,0,5,1,0,0,0,1,1,8,0,1,0,28,2,8,2,0,0
Apr 2013,5,1,0,0,0,0,8,0,1,33,0,8,2,0,0,0,1,0,8,0,3,0,25,2,8,2,0,0
May 2013,5,1,0,0,0,0,6,0,1,33,0,10,2,0,0,0,1,0,8,0,4,0,23,3,9,1,0,0
Jun 2013,5,0,0,0,0,0,7,0,1,31,0,6,2,0,0,0,1,1,8,0,1,0,25,3,8,2,0,0
Jul 2013,4,0,0,0,0,0,10,0,1,36,0,8,3,0,0,0,1,0,8,0,3,0,28,2,8,4,0,0
Aug 2013,4,0,1,0,0,0,8,0,0,31,0,8,3,0,0,0,0,1,8,0,2,0,23,2,6,4,0,0
Sep 2013,4,0,1,0,0,0,6,0,0,31,0,10,3,0,0,0,0,1,8,0,3,0,21,3,5,5,0,0
Oct 2013,4,0,0,0,0,0,6,0,0,32,0,8,3,0,0,0,0,2,8,0,2,1,23,3,5,6,0,0
Nov 2013,4,0,0,0,0,0,6,0,0,34,0,8,3,0,0,0,0,2,8,0,1,1,25,4,6,7,0,0
Dec 2013,3,1,0,0,0,0,3,0,0,34,0,15,3,0,0,0,0,1,8,0,6,1,18,5,6,5,0,0
Jan 2014,4,1,0,0,0,0,2,0,0,33,0,12,3,0,0,0,0,1,8,0,3,0,21,5,6,8,0,0
Feb 2014,4,1,0,0,0,0,3,0,0,31,0,12,3,0,0,0,0,0,8,0,4,0,19,4,6,6,0,0
Mar 2014,5,1,0,0,0,0,2,0,1,30,0,11,3,0,0,0,0,1,8,0,3,0,19,4,7,3,0,0
Apr 2014,5,2,0,0,0,0,1,0,1,31,0,11,3,0,0,0,1,3,8,0,1,0,20,5,6,3,0,0
May 2014,5,2,0,0,0,0,2,0,1,30,0,8,3,0,0,0,3,1,8,0,1,0,22,2,7,3,0,0
Jun 2014,5,2,0,0,0,0,2,0,2,31,0,8,2,0,0,0,1,1,8,0,2,0,23,2,8,4,0,0
Jul 2014,4,2,0,0,0,0,2,0,2,31,0,11,3,0,0,0,0,0,8,0,4,0,20,2,7,5,0,0
Aug 2014,4,2,0,0,0,0,1,0,2,37,1,10,2,0,0,0,2,1,8,0,6,0,27,0,10,6,0,0
Sep 2014,5,2,0,0,0,0,1,0,2,35,0,8,2,0,0,0,1,1,8,0,4,0,27,0,11,6,0,0
Oct 2014,5,2,0,0,0,0,2,0,1,33,0,11,1,0,0,0,0,1,8,0,8,0,22,0,8,5,0,0
Nov 2014,5,3,0,0,0,0,1,0,1,31,0,13,1,0,0,0,0,1,8,0,8,0,18,1,7,3,0,0
Dec 2014,3,3,0,0,0,0,2,0,1,30,0,10,1,0,0,0,0,1,8,0,5,0,20,1,8,5,0,0
Jan 2015,4,3,0,0,0,0,3,0,1,30,0,7,0,0,0,0,0,0,8,0,3,0,23,1,10,5,0,0
Feb 2015,3,3,0,0,0,0,3,0,1,29,0,6,0,0,0,0,0,2,8,0,3,0,23,0,9,5,0,0
Mar 2015,4,2,0,0,0,0,3,0,2,30,0,5,0,0,0,0,0,1,8,0,1,0,25,2,9,6,0,0
Apr 2015,3,2,0,0,0,0,4,0,2,30,0,5,0,0,0,0,0,0,8,0,1,0,25,2,9,7,0,0
May 2015,2,1,0,0,0,0,5,0,1,26,0,4,0,0,0,0,0,1,8,0,1,0,22,2,9,4,0,0
Jun 2015,1,1,0,0,0,0,6,0,2,23,0,1,0,0,0,0,1,2,8,0,0,0,22,0,6,4,0,0
Jul 2015,0,0,0,0,0,0,7,0,3,21,0,2,0,0,0,0,0,2,8,0,2,1,18,0,4,2,0,0
Aug 2015,0,0,0,0,0,0,5,0,3,23,0,3,0,0,0,0,0,3,8,0,3,1,19,0,6,2,0,0
Sep 2015,0,1,0,0,0,0,5,0,5,27,0,3,0,0,0,0,0,5,8,0,2,1,23,0,5,3,0,0
Oct 2015,1,1,0,0,0,0,5,0,5,23,0,4,0,0,0,0,0,1,8,0,3,1,18,0,4,2,0,0
Nov 2015,1,1,0,0,0,0,5,0,5,22,0,4,0,0,0,0,0,1,8,0,3,0,18,0,4,2,0,0
Dec 2015,2,1,0,0,0,0,5,0,5,23,0,3,0,0,0,0,0,0,8,0,2,0,20,0,6,2,0,0
Jan 2016,2,1,0,0,0,0,5,0,4,24,0,3,0,0,0,0,0,2,8,0,2,0,21,0,5,3,0,0
Feb 2016,2,1,0,0,0,0,8,0,3,28,0,4,0,0,0,0,0,1,8,0,2,0,24,1,5,5,0,0
Mar 2016,2,1,0,0,0,0,7,0,2,29,0,5,0,0,0,0,0,2,8,0,4,0,24,0,5,6,0,0
Apr 2016,4,1,0,0,0,0,7,0,2,30,0,4,0,0,0,0,0,1,8,0,3,0,26,0,6,6,0,0
May 2016,4,1,0,0,0,0,4,0,3,28,0,9,0,0,0,0,1,0,8,0,8,0,19,0,3,4,0,0
Jun 2016,3,1,0,0,0,0,4,0,2,26,0,7,0,0,0,0,0,1,8,0,5,0,19,1,3,6,0,0
Jul 2016,3,1,0,0,0,0,2,0,2,24,0,8,0,0,0,0,0,2,8,0,6,0,16,1,3,4,0,0
Aug 2016,3,1,0,0,0,0,3,0,2,18,0,5,0,0,0,0,0,1,8,0,4,0,13,0,1,3,0,0
Sep 2016,3,1,0,0,0,0,5,0,2,20,0,3,0,0,0,0,1,1,8,0,2,0,17,0,1,4,0,0
Oct 2016,2,1,0,0,0,0,5,0,3,21,0,4,0,0,0,0,0,1,8,0,3,0,17,0,1,5,0,0
Nov 2016,2,2,0,0,0,0,6,0,3,21,0,4,0,0,0,0,1,0,8,0,2,0,17,0,1,4,0,0
Dec 2016,1,0,0,0,0,0,5,0,4,18,0,2,0,0,0,0,0,0,8,0,2,0,16,0,2,4,0,0
Jan 2017,1,0,0,0,0,0,6,0,4,19,0,2,0,0,0,0,0,1,8,0,2,0,17,0,2,3,0,0
Feb 2017,1,0,0,0,0,0,4,0,4,16,0,3,0,0,0,0,0,0,8,0,2,0,13,1,3,1,0,0
Mar 2017,1,0,0,0,0,0,5,0,3,23,0,4,0,0,0,0,0,3,8,0,3,0,19,1,4,3,0,0
Apr 2017,1,0,0,0,0,0,6,0,3,23,0,4,0,0,0,0,0,2,8,0,3,0,19,1,4,3,0,0
May 2017,1,0,0,0,0,0,6,0,3,22,0,2,0,0,0,0,0,3,8,0,2,0,20,0,5,2,0,0
Jun 2017,1,1,0,0,0,0,5,0,4,22,0,4,0,0,0,0,0,2,8,0,3,0,18,0,4,2,0,0
Jul 2017,1,1,0,0,0,0,5,0,4,23,0,4,0,0,0,0,1,2,8,0,3,0,19,0,4,2,0,0
Aug 2017,2,2,0,0,0,0,3,0,2,24,0,8,0,0,0,0,0,1,8,0,6,0,16,0,5,3,0,0
Sep 2017,2,2,0,0,0,0,3,0,2,23,0,8,0,0,0,0,0,0,8,0,6,0,15,0,5,3,0,0
Oct 2017,2,1,0,0,0,0,3,0,2,22,0,5,0,0,0,0,0,2,8,0,4,0,17,0,5,3,0,0
Nov 2017,2,1,0,0,0,0,4,0,2,21,0,5,0,0,0,0,0,1,8,0,4,0,16,0,5,2,0,0
Dec 2017,3,1,0,0,0,0,5,0,2,21,0,4,0,0,0,0,0,0,8,0,3,0,17,0,5,2,0,0
Jan 2018,3,1,0,0,0,0,5,0,2,18,0,3,0,0,0,0,0,0,8,0,2,0,15,0,3,2,0,0
Feb 2018,3,1,0,0,0,0,5,0,1,20,0,4,0,0,0,0,0,1,8,0,3,0,16,0,3,3,0,0
Mar 2018,3,1,0,0,0,0,5,0,0,19,0,3,0,0,0,0,0,1,8,0,1,0,16,1,3,4,0,0
Apr 2018,3,0,0,0,0,0,5,0,1,16,0,1,0,0,0,0,0,0,8,0,0,0,15,1,2,4,0,0
May 2018,3,0,0,0,0,0,4,0,1,17,0,1,0,0,0,0,0,1,8,0,0,0,16,1,2,5,0,0
