Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Total Children in Care,8,10,12,13,15,15,16,17,
Total Family-like setting,1,1,2,2,2,2,2,2,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,1,2,2,2,2,2,2,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,7,9,10,11,13,13,14,15,
Group Home,0,0,0,0,0,1,1,1,
Residential Treatment,3,3,4,4,5,4,4,5,
Psychiatric RTC,1,1,2,2,1,1,1,1,
Boys School,1,3,3,3,6,6,6,6,
Girls School,0,0,0,0,0,0,0,0,
Detention,1,1,1,1,0,0,2,2,
Crisis Center,1,1,0,1,1,1,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2012","Feb 29, 2012","Mar 31, 2012","Apr 30, 2012","May 31, 2012","Jun 30, 2012","Jul 31, 2012","Aug 31, 2012",
Report Period,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,
Total Children in Care,18,20,21,23,19,18,19,18,
Total Family-like setting,2,2,3,3,3,4,6,6,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,2,2,3,3,2,2,4,4,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,1,2,2,2,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,16,18,18,20,16,14,13,12,
Group Home,1,2,2,2,1,0,1,0,
Residential Treatment,5,6,6,7,5,4,4,4,
Psychiatric RTC,1,1,1,1,1,1,1,1,
Boys School,6,7,7,7,7,8,6,6,
Girls School,0,0,0,0,0,0,0,0,
Detention,3,2,2,3,1,0,1,1,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,1,1,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2012","Oct 31, 2012","Nov 30, 2012","Dec 31, 2012","Jan 31, 2013","Feb 28, 2013","Mar 31, 2013","Apr 30, 2013",
Report Period,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,
Total Children in Care,20,18,16,18,20,20,18,17,
Total Family-like setting,6,4,3,5,7,8,6,6,
Relative foster home,0,0,1,2,2,3,2,3,
Non-relative foster home,4,3,2,3,5,5,4,3,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,2,1,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,14,13,12,13,13,12,12,11,
Group Home,1,0,2,2,1,1,2,1,
Residential Treatment,4,4,3,3,4,4,3,4,
Psychiatric RTC,1,1,1,1,1,1,1,1,
Boys School,6,6,5,4,3,5,5,4,
Girls School,0,1,1,1,1,1,1,1,
Detention,2,1,0,1,2,0,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,1,1,0,0,0,
Runaway,0,1,1,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2013","Jun 30, 2013","Jul 31, 2013","Aug 31, 2013","Sep 30, 2013","Oct 31, 2013","Nov 30, 2013","Dec 31, 2013",
Report Period,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,
Total Children in Care,17,17,17,19,20,20,21,22,
Total Family-like setting,7,8,7,7,8,6,5,5,
Relative foster home,3,3,3,3,3,2,1,1,
Non-relative foster home,4,4,3,3,4,2,2,4,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,1,1,1,1,2,2,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,10,9,10,12,12,14,16,17,
Group Home,1,1,1,1,0,0,0,0,
Residential Treatment,5,5,5,7,8,9,8,8,
Psychiatric RTC,0,0,0,0,0,0,1,1,
Boys School,3,2,1,1,1,2,4,5,
Girls School,1,1,0,0,0,0,0,0,
Detention,0,0,3,3,3,3,3,3,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2014","Feb 28, 2014","Mar 31, 2014","Apr 30, 2014","May 31, 2014","Jun 30, 2014","Jul 31, 2014","Aug 31, 2014",
Report Period,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,
Total Children in Care,21,21,22,23,25,24,25,25,
Total Family-like setting,5,4,4,5,5,4,5,5,
Relative foster home,1,1,1,1,1,0,0,0,
Non-relative foster home,4,3,3,3,3,3,3,3,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,1,1,1,2,2,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,16,17,18,18,20,20,20,20,
Group Home,0,0,0,0,1,1,1,2,
Residential Treatment,7,7,7,9,11,11,11,11,
Psychiatric RTC,2,2,2,3,2,2,2,2,
Boys School,6,6,6,5,4,3,2,2,
Girls School,1,1,1,1,1,2,2,2,
Detention,0,1,1,0,1,1,1,1,
Crisis Center,0,0,1,0,0,0,1,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2014","Oct 31, 2014","Nov 30, 2014","Dec 31, 2014","Jan 31, 2015","Feb 28, 2015","Mar 31, 2015","Apr 30, 2015",
Report Period,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,
Total Children in Care,23,20,20,20,18,13,12,12,
Total Family-like setting,4,3,3,5,5,4,3,5,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,1,1,2,2,2,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,3,2,2,3,3,2,2,4,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,19,17,17,15,13,9,9,7,
Group Home,2,3,2,1,1,1,1,0,
Residential Treatment,10,8,7,6,5,2,4,4,
Psychiatric RTC,1,1,1,0,0,0,0,0,
Boys School,3,2,2,3,4,4,4,3,
Girls School,2,2,2,2,2,0,0,0,
Detention,1,0,2,2,0,0,0,0,
Crisis Center,0,1,1,1,1,2,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
