period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,7,1,3,0,0,0
Feb 2012,10,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,2,0,0,0,9,1,3,0,0,0
Mar 2012,12,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,2,0,0,0,10,2,4,0,0,0
Apr 2012,13,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1,2,0,0,0,11,2,4,0,0,0
May 2012,15,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,1,0,2,0,0,0,13,2,5,0,0,0
Jun 2012,15,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,1,0,2,0,0,0,13,2,4,1,0,0
Jul 2012,16,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,2,2,0,0,0,14,2,4,1,0,0
Aug 2012,17,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,2,2,0,0,0,15,2,5,1,0,0
Sep 2012,18,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,3,2,0,0,0,16,2,5,1,0,0
Oct 2012,20,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,2,2,0,0,0,18,2,6,2,0,0
Nov 2012,21,1,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,2,2,0,0,0,18,3,6,2,0,0
Dec 2012,23,1,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,2,0,0,0,20,3,7,2,0,0
Jan 2013,19,1,0,1,0,0,0,7,0,0,0,3,0,0,1,0,0,1,2,0,0,0,16,2,5,1,0,0
