period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,2,1,0,0,0,0
Feb 2012,4,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0
Mar 2012,4,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0
Apr 2012,6,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,7,0,0,0,5,1,0,0,0,0
May 2012,9,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,7,0,0,0,9,0,1,1,0,0
Jun 2012,14,1,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,1,7,0,0,0,13,1,2,2,0,0
Jul 2012,19,1,0,1,0,0,0,8,0,2,0,2,0,0,0,0,0,2,7,0,0,0,17,1,2,2,0,0
Aug 2012,21,1,0,2,0,0,0,8,0,2,0,3,0,0,0,0,1,1,7,0,0,0,18,1,2,3,0,0
Sep 2012,26,1,0,2,0,0,0,9,0,3,0,3,0,0,0,0,1,2,7,0,0,0,23,1,3,4,0,0
Oct 2012,31,0,0,2,0,0,0,11,0,4,0,3,0,0,0,0,1,5,7,0,0,0,28,1,4,3,0,0
Nov 2012,32,1,0,2,0,0,0,14,0,5,0,3,0,0,0,0,0,0,7,0,0,0,29,1,6,3,0,0
Dec 2012,35,1,0,2,0,0,0,14,0,5,0,2,0,0,0,0,0,2,7,0,0,0,33,0,7,4,0,0
Jan 2013,36,1,0,1,0,0,0,16,0,4,0,1,0,0,0,0,1,3,7,0,0,0,35,0,7,3,0,0
Feb 2013,35,1,0,0,0,0,0,15,0,6,0,0,0,0,0,0,0,1,7,0,0,0,35,0,9,3,0,0
Mar 2013,38,1,0,0,0,0,0,16,0,6,0,0,0,0,0,0,1,0,7,0,0,0,38,0,9,5,0,0
Apr 2013,36,1,0,0,0,0,0,15,0,5,0,0,0,0,0,0,2,0,7,0,0,0,36,0,9,4,0,0
May 2013,36,1,0,0,0,0,0,13,0,3,1,0,0,0,0,0,0,4,7,0,0,1,35,0,10,3,0,0
Jun 2013,29,2,0,0,0,0,0,9,0,2,0,0,0,0,0,0,1,2,7,0,0,1,28,0,10,2,0,0
Jul 2013,33,2,0,1,0,0,0,9,0,2,0,1,0,0,0,0,3,1,7,0,0,1,31,0,12,2,0,0
Aug 2013,33,2,0,1,0,0,0,10,0,2,0,1,0,0,0,0,1,3,7,0,0,0,32,0,12,2,0,0
Sep 2013,37,2,0,1,0,0,0,14,0,2,0,1,0,0,0,0,1,1,7,0,0,0,36,0,14,2,0,0
Oct 2013,35,2,0,1,0,0,0,12,0,2,0,1,0,0,0,0,0,2,7,0,0,0,34,0,13,3,0,0
Nov 2013,34,1,0,1,0,0,0,13,0,2,0,1,0,0,0,0,0,2,7,0,0,0,33,0,13,2,0,0
Dec 2013,29,1,0,0,0,0,0,11,0,2,0,1,0,0,0,0,0,3,7,0,1,0,28,0,9,2,0,0
Jan 2014,26,1,0,0,0,0,0,8,0,2,0,1,0,0,0,0,0,4,7,0,1,0,25,0,8,2,0,0
Feb 2014,30,2,0,0,0,0,0,8,0,2,0,1,0,0,0,0,0,4,7,0,1,0,29,0,8,5,0,0
Mar 2014,25,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,7,0,0,0,25,0,6,10,0,0
Apr 2014,26,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,7,0,0,0,26,0,8,7,0,0
May 2014,23,1,0,1,0,0,0,6,0,0,0,2,0,0,0,0,1,2,7,0,0,0,21,1,5,6,0,0
Jun 2014,21,1,0,1,0,0,0,7,0,0,0,3,0,0,0,0,0,2,7,0,1,0,18,1,6,2,0,0
Jul 2014,19,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,7,0,0,0,18,1,5,2,0,0
Aug 2014,19,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,3,7,0,0,0,18,1,5,2,0,0
Sep 2014,23,1,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,3,7,0,0,0,22,1,5,3,0,0
Oct 2014,24,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,3,7,0,0,0,24,0,5,4,0,0
Nov 2014,22,1,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,7,0,0,0,22,0,6,4,0,0
Dec 2014,21,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,7,0,0,0,21,0,6,4,0,0
Jan 2015,21,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,2,7,0,0,0,21,0,5,4,0,0
Feb 2015,22,1,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,2,7,0,0,0,22,0,6,4,0,0
Mar 2015,19,2,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,7,0,0,0,19,0,3,3,0,0
Apr 2015,19,1,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,7,0,0,0,19,0,3,4,0,0
May 2015,22,1,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,2,7,0,0,0,22,0,5,4,0,0
Jun 2015,24,1,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1,7,0,0,0,24,0,6,5,0,0
Jul 2015,27,1,0,0,0,0,0,9,0,2,0,0,0,0,0,0,1,5,7,0,0,0,27,0,5,4,0,0
Aug 2015,24,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,4,7,0,0,0,24,0,5,5,0,0
Sep 2015,24,1,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,3,7,0,1,1,22,0,4,5,0,0
Oct 2015,22,1,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,2,7,0,1,1,20,0,5,4,0,0
Nov 2015,21,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,7,0,0,1,20,0,8,3,0,0
Dec 2015,22,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,2,7,0,0,1,21,0,8,2,0,0
Jan 2016,22,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,7,0,0,1,21,0,8,3,0,0
Feb 2016,20,1,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,7,0,0,1,19,0,7,2,0,0
Mar 2016,23,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,3,7,0,0,0,23,0,6,4,0,0
Apr 2016,26,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,5,7,0,0,0,26,0,5,7,0,0
May 2016,24,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0,1,4,7,0,1,0,23,0,5,6,0,0
Jun 2016,24,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,5,7,0,0,0,24,0,6,5,0,0
Jul 2016,24,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,1,1,7,0,1,0,23,0,6,6,0,0
Aug 2016,21,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,1,7,0,0,0,21,0,3,7,0,0
Sep 2016,24,1,1,0,0,0,0,7,0,0,0,1,0,0,0,0,1,5,7,0,0,0,23,0,3,6,0,0
Oct 2016,25,1,1,0,0,0,0,9,0,1,0,1,0,0,0,0,1,5,7,0,0,0,24,0,3,4,0,0
Nov 2016,25,1,1,0,0,0,0,8,0,1,0,2,0,0,0,0,2,1,7,0,0,0,23,1,4,6,0,0
Dec 2016,21,0,1,0,0,0,0,6,0,1,0,2,0,0,0,0,2,1,7,0,0,0,19,1,4,5,0,0
Jan 2017,16,0,1,0,0,0,0,6,0,1,0,2,0,0,0,0,1,3,7,0,0,0,14,1,1,2,0,0
Feb 2017,18,1,2,0,0,0,0,6,0,1,0,3,0,0,0,0,2,1,7,0,0,0,15,1,1,3,0,0
Mar 2017,17,1,2,0,0,0,0,4,0,1,0,3,0,0,0,0,2,1,7,0,0,0,14,1,2,3,0,0
Apr 2017,21,2,2,0,0,0,0,5,0,1,0,3,0,0,0,0,2,2,7,0,0,0,18,1,3,3,0,0
