period,district,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Jan 2012,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Feb 2012,4,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0
Mar 2012,4,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0
Apr 2012,4,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0
May 2012,4,0,0,0,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0
Jun 2012,4,0,0,0,0,0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,6,1,0,0,0
Jul 2012,4,0,0,0,0,0,0,0,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,6,1,0,0,0
Aug 2012,4,0,0,0,0,0,0,0,0,8,0,2,1,4,0,0,0,0,0,0,0,0,0,8,1,0,0,0
Sep 2012,4,1,1,0,0,0,0,0,0,9,0,0,1,4,0,0,0,0,0,0,0,0,0,8,3,0,0,0
Oct 2012,4,1,1,0,0,0,0,0,0,10,0,0,1,5,0,0,0,0,0,0,0,0,0,9,3,0,0,0
Nov 2012,4,1,1,0,0,0,0,0,0,13,1,1,1,5,0,0,0,0,0,0,0,0,0,12,4,0,0,0
Dec 2012,4,1,1,0,0,0,0,0,0,16,0,1,2,6,0,0,0,0,0,0,0,0,0,15,4,0,2,0
Jan 2013,4,1,1,0,0,0,0,0,0,19,2,2,4,6,0,0,0,0,0,0,0,0,0,18,2,0,2,0
Feb 2013,4,1,1,0,0,0,0,0,0,19,0,1,6,7,0,0,0,0,0,0,0,0,0,18,2,0,2,0
Mar 2013,4,1,1,0,0,0,0,0,0,18,1,2,4,6,0,0,0,0,0,0,0,0,0,17,2,0,2,0
Apr 2013,4,1,1,0,0,0,0,0,0,18,2,0,4,6,0,0,0,0,0,0,0,0,0,17,2,0,3,0
May 2013,4,1,1,0,0,0,0,0,0,18,2,3,4,3,0,0,0,0,0,0,0,0,0,17,3,0,2,0
Jun 2013,4,1,1,0,0,0,0,0,0,14,1,2,2,4,0,0,0,0,0,0,0,0,0,13,3,0,1,0
Jul 2013,4,1,1,0,0,0,0,0,0,11,1,1,1,3,0,0,0,0,0,0,0,0,0,10,3,0,1,0
Aug 2013,4,0,1,0,0,0,0,0,1,9,0,1,0,3,0,0,0,0,0,0,0,0,0,8,3,0,1,0
Sep 2013,4,0,1,0,0,0,0,0,1,11,3,0,0,3,0,0,0,0,0,0,0,0,0,10,3,0,1,0
Oct 2013,4,0,1,0,0,0,0,0,1,11,1,0,2,4,0,0,0,0,0,0,0,0,0,10,2,0,1,0
Nov 2013,4,0,1,0,0,0,0,0,1,15,0,2,4,5,0,0,0,0,0,0,0,0,0,14,2,0,1,0
Dec 2013,4,0,1,0,0,0,0,0,1,17,2,3,4,5,0,0,0,0,0,0,0,0,0,16,1,0,1,0
Jan 2014,4,0,1,0,0,0,0,0,1,17,0,3,6,4,0,0,0,0,0,0,0,0,0,16,1,0,2,0
Feb 2014,4,0,1,0,0,1,0,0,1,20,1,2,6,4,0,0,0,0,0,0,0,0,0,19,3,0,2,0
Mar 2014,4,0,0,0,0,0,0,0,0,20,0,3,6,5,0,0,0,0,0,0,0,0,0,20,3,0,3,0
Apr 2014,4,0,0,0,0,0,0,0,0,23,0,4,6,5,0,0,0,0,0,0,0,0,0,23,5,0,3,0
May 2014,4,0,0,0,0,0,0,0,0,23,1,4,5,5,0,0,0,0,0,0,0,0,0,23,5,0,3,0
Jun 2014,4,0,0,0,0,0,0,0,0,20,0,3,5,4,0,0,0,0,0,0,0,0,0,20,5,0,3,0
Jul 2014,4,0,0,0,0,0,0,0,0,19,0,3,4,5,0,0,0,0,0,0,0,0,0,19,4,0,3,0
Aug 2014,4,0,1,0,0,0,0,0,0,19,2,2,3,4,0,0,0,0,0,0,0,0,1,18,4,0,3,0
Sep 2014,4,0,1,0,0,0,0,0,0,21,0,3,4,4,0,0,0,0,0,0,0,1,0,19,5,0,3,1
Oct 2014,4,0,1,0,0,0,0,0,0,20,0,1,5,4,0,0,0,0,0,0,0,1,0,18,6,0,2,1
Nov 2014,4,0,1,0,0,1,0,0,0,24,2,3,5,4,0,0,0,0,0,0,0,1,0,22,5,0,2,1
Dec 2014,4,0,1,0,0,0,0,0,0,23,1,2,7,4,0,0,0,0,0,0,0,1,0,21,5,0,2,1
Jan 2015,4,0,1,0,0,0,0,0,0,20,0,2,7,2,0,0,0,0,0,0,0,1,0,18,5,0,2,1
