Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Total Children in Care,3,4,4,6,9,14,19,21,
Total Family-like setting,1,1,1,1,0,1,2,3,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,1,1,1,0,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,1,2,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,2,3,3,5,9,13,17,18,
Group Home,0,0,0,0,1,2,2,3,
Residential Treatment,0,0,0,0,1,2,2,2,
Psychiatric RTC,0,0,0,0,1,1,1,1,
Boys School,2,2,2,2,3,5,8,8,
Girls School,0,1,1,2,2,2,2,2,
Detention,0,0,0,0,0,1,2,1,
Crisis Center,0,0,0,1,1,0,0,1,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2012","Feb 29, 2012","Mar 31, 2012","Apr 30, 2012","May 31, 2012","Jun 30, 2012","Jul 31, 2012","Aug 31, 2012",
Report Period,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,
Total Children in Care,26,31,32,35,36,35,38,36,
Total Family-like setting,3,3,3,2,1,0,0,0,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,1,1,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,2,2,2,2,1,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,23,28,29,33,35,35,38,36,
Group Home,4,3,3,4,3,3,5,4,
Residential Treatment,3,4,6,7,7,9,9,9,
Psychiatric RTC,1,0,1,1,1,1,1,1,
Boys School,9,11,14,14,16,15,16,15,
Girls School,3,4,5,5,4,6,6,5,
Detention,2,5,0,2,3,1,0,0,
Crisis Center,1,1,0,0,1,0,1,2,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2012","Oct 31, 2012","Nov 30, 2012","Dec 31, 2012","Jan 31, 2013","Feb 28, 2013","Mar 31, 2013","Apr 30, 2013",
Report Period,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,
Total Children in Care,36,29,33,33,37,35,34,29,
Total Family-like setting,0,0,1,1,1,1,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,1,
Supervised Independent Living,0,0,1,1,1,1,1,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,35,28,31,32,36,34,33,28,
Group Home,3,2,2,2,2,3,2,2,
Residential Treatment,10,10,12,12,14,13,13,9,
Psychiatric RTC,1,2,2,2,2,2,1,1,
Boys School,13,9,9,10,14,12,13,11,
Girls School,3,2,2,2,2,2,2,2,
Detention,4,2,1,3,1,2,2,3,
Crisis Center,0,1,3,1,1,0,0,0,
Hospital,1,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,1,1,1,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2013","Jun 30, 2013","Jul 31, 2013","Aug 31, 2013","Sep 30, 2013","Oct 31, 2013","Nov 30, 2013","Dec 31, 2013",
Report Period,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,
Total Children in Care,26,30,25,26,23,21,19,19,
Total Family-like setting,1,1,0,0,2,3,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,1,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,0,0,0,1,0,0,
Supervised Independent Living,0,0,0,0,1,1,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,25,29,25,26,21,18,18,18,
Group Home,2,5,10,7,6,2,2,2,
Residential Treatment,8,8,6,8,5,6,5,5,
Psychiatric RTC,1,2,1,1,1,1,1,1,
Boys School,8,8,7,7,6,7,9,7,
Girls School,2,2,0,0,0,0,0,0,
Detention,4,4,1,2,2,2,0,3,
Crisis Center,0,0,0,1,1,0,1,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2014","Feb 28, 2014","Mar 31, 2014","Apr 30, 2014","May 31, 2014","Jun 30, 2014","Jul 31, 2014","Aug 31, 2014",
Report Period,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,
Total Children in Care,23,24,22,21,21,22,19,19,
Total Family-like setting,1,0,0,0,0,0,0,0,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,22,24,22,21,21,22,19,19,
Group Home,3,4,4,4,4,4,3,4,
Residential Treatment,5,5,6,6,5,6,3,3,
Psychiatric RTC,1,1,1,1,2,1,2,1,
Boys School,9,10,10,9,6,7,8,8,
Girls School,1,1,1,1,1,2,2,2,
Detention,3,3,0,0,2,2,1,1,
Crisis Center,0,0,0,0,1,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2014","Oct 31, 2014","Nov 30, 2014","Dec 31, 2014","Jan 31, 2015","Feb 28, 2015","Mar 31, 2015","Apr 30, 2015",
Report Period,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,
Total Children in Care,22,24,27,24,24,22,21,22,
Total Family-like setting,0,0,0,0,1,1,0,0,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,1,1,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,22,24,27,24,22,20,20,21,
Group Home,4,5,4,5,5,4,3,2,
Residential Treatment,5,6,5,5,4,5,8,8,
Psychiatric RTC,1,1,1,1,1,1,1,1,
Boys School,8,9,9,8,8,7,6,6,
Girls School,2,2,2,1,1,1,1,1,
Detention,2,1,5,4,3,2,1,2,
Crisis Center,0,0,1,0,0,0,0,1,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,1,1,1,1,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2015","Jun 30, 2015","Jul 31, 2015","Aug 31, 2015","Sep 30, 2015","Oct 31, 2015","Nov 30, 2015","Dec 31, 2015",
Report Period,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,
Total Children in Care,22,20,23,26,24,24,24,21,
Total Family-like setting,0,0,0,0,1,0,1,0,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,1,0,1,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,21,19,23,26,23,24,23,21,
Group Home,3,2,4,7,6,5,6,7,
Residential Treatment,8,7,6,5,5,6,6,3,
Psychiatric RTC,1,1,1,1,1,0,0,1,
Boys School,6,7,6,5,5,6,8,7,
Girls School,2,2,1,1,1,1,1,1,
Detention,1,0,3,5,4,5,1,1,
Crisis Center,0,0,2,2,1,1,1,1,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,1,1,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2016","Feb 29, 2016","Mar 31, 2016","Apr 30, 2016","May 31, 2016","Jun 30, 2016","Jul 31, 2016","Aug 31, 2016",
Report Period,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,
Total Children in Care,24,25,25,21,16,18,17,21,
Total Family-like setting,1,1,2,2,2,3,3,3,
Relative foster home,1,1,1,1,1,2,2,2,
Non-relative foster home,0,0,1,1,1,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,23,24,23,19,14,15,14,18,
Group Home,6,4,6,5,2,3,3,3,
Residential Treatment,3,3,4,4,1,1,2,3,
Psychiatric RTC,1,1,1,0,0,1,1,2,
Boys School,7,9,8,6,6,6,4,5,
Girls School,0,1,1,1,1,1,1,1,
Detention,5,5,1,1,3,1,1,2,
Crisis Center,1,1,2,2,1,2,2,2,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2016","Oct 31, 2016","Nov 30, 2016","Dec 31, 2016","Jan 31, 2017","Feb 28, 2017","Mar 31, 2017","Apr 30, 2017",
Report Period,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,
Total Children in Care,27,28,28,26,27,30,34,36,
Total Family-like setting,3,2,3,2,2,2,2,3,
Relative foster home,2,1,1,1,1,1,1,1,
Non-relative foster home,1,1,2,1,1,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,24,25,24,23,24,27,31,32,
Group Home,3,4,3,3,3,3,2,4,
