Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Total Children in Care,9,9,10,12,14,16,18,22,
Total Family-like setting,0,1,1,1,2,2,2,2,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,1,1,1,1,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,1,1,1,1,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,9,8,9,11,11,13,15,19,
Group Home,5,4,4,4,3,3,3,5,
Residential Treatment,3,2,3,3,5,6,6,7,
Psychiatric RTC,0,1,1,1,1,1,2,2,
Boys School,1,1,1,1,1,2,3,4,
Girls School,0,0,0,0,0,0,0,0,
Detention,0,0,0,2,0,0,0,0,
Crisis Center,0,0,0,0,1,1,1,1,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,1,1,1,1,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2012","Feb 29, 2012","Mar 31, 2012","Apr 30, 2012","May 31, 2012","Jun 30, 2012","Jul 31, 2012","Aug 31, 2012",
Report Period,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,
Total Children in Care,24,31,34,39,34,35,30,32,
Total Family-like setting,1,2,1,1,1,2,3,4,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,1,0,0,0,1,2,3,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,1,1,1,1,1,1,1,1,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,22,29,32,37,32,32,26,28,
Group Home,6,8,7,12,10,10,9,7,
Residential Treatment,7,10,11,11,11,11,8,8,
Psychiatric RTC,3,2,2,3,3,4,4,5,
Boys School,4,6,6,5,5,6,4,5,
Girls School,0,0,1,1,1,1,1,1,
Detention,2,1,2,2,1,0,0,0,
Crisis Center,0,1,1,1,1,0,0,2,
Hospital,0,1,2,1,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,1,0,0,0,0,
Runaway,1,0,1,1,1,1,1,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2012","Oct 31, 2012","Nov 30, 2012","Dec 31, 2012","Jan 31, 2013","Feb 28, 2013","Mar 31, 2013","Apr 30, 2013",
Report Period,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,
Total Children in Care,27,25,23,18,18,15,15,19,
Total Family-like setting,4,5,2,3,1,1,0,0,
Relative foster home,1,1,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,2,3,1,2,1,1,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,1,1,1,1,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,23,19,20,13,16,13,14,18,
Group Home,10,5,8,4,5,5,5,7,
Residential Treatment,5,5,5,3,3,2,2,2,
Psychiatric RTC,3,3,3,2,2,1,1,1,
Boys School,4,4,3,3,3,4,6,6,
Girls School,1,1,1,1,0,0,0,0,
Detention,0,1,0,0,3,1,0,1,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,1,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,1,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,1,1,1,1,1,1,1,
Date data are based,"May 31, 2013","Jun 30, 2013","Jul 31, 2013","Aug 31, 2013","Sep 30, 2013","Oct 31, 2013","Nov 30, 2013","Dec 31, 2013",
Report Period,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,
Total Children in Care,22,26,28,28,26,25,25,24,
Total Family-like setting,0,0,0,0,1,1,2,3,
Relative foster home,0,0,0,0,1,1,2,1,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,1,
Supervised Independent Living,0,0,0,0,0,0,0,1,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,21,26,28,28,25,24,23,21,
Group Home,9,10,11,10,9,8,6,6,
Residential Treatment,3,3,6,6,5,6,9,7,
Psychiatric RTC,2,4,1,1,1,1,1,1,
Boys School,7,8,9,9,7,6,6,6,
Girls School,0,0,0,0,1,1,1,1,
Detention,0,1,1,2,2,2,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,1,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2014","Feb 28, 2014","Mar 31, 2014","Apr 30, 2014","May 31, 2014","Jun 30, 2014","Jul 31, 2014","Aug 31, 2014",
Report Period,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,
Total Children in Care,26,27,28,24,25,24,23,24,
Total Family-like setting,4,2,2,2,1,1,0,1,
Relative foster home,1,1,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,2,1,2,2,1,1,0,1,
Supervised Independent Living,1,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,22,24,25,22,24,23,23,23,
Group Home,6,9,6,6,7,7,7,6,
Residential Treatment,7,5,6,5,4,3,3,4,
Psychiatric RTC,1,1,1,1,2,3,4,4,
Boys School,6,6,7,7,8,8,8,7,
Girls School,1,1,1,1,1,1,1,1,
Detention,1,2,4,2,2,1,0,1,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,1,1,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2014","Oct 31, 2014","Nov 30, 2014","Dec 31, 2014","Jan 31, 2015","Feb 28, 2015","Mar 31, 2015","Apr 30, 2015",
Report Period,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,
Total Children in Care,25,27,26,23,21,21,21,19,
Total Family-like setting,1,1,1,1,1,1,2,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,1,1,1,1,2,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,24,26,25,22,20,20,19,18,
Group Home,8,8,8,6,5,7,5,4,
Residential Treatment,4,5,5,5,5,5,4,4,
Psychiatric RTC,4,5,5,5,5,3,3,3,
Boys School,7,6,4,3,2,2,3,3,
Girls School,0,0,3,3,3,3,4,4,
Detention,1,2,0,0,0,0,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2015","Jun 30, 2015","Jul 31, 2015","Aug 31, 2015","Sep 30, 2015","Oct 31, 2015","Nov 30, 2015","Dec 31, 2015",
Report Period,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,
Total Children in Care,19,20,19,18,17,16,16,17,
Total Family-like setting,1,2,3,3,2,2,0,3,
Relative foster home,0,1,1,1,1,1,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,2,2,1,1,0,3,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,18,18,16,15,15,14,16,14,
Group Home,5,5,3,3,1,1,3,5,
Residential Treatment,3,2,2,1,1,2,3,4,
Psychiatric RTC,3,2,3,4,4,3,3,0,
Boys School,3,4,3,2,2,3,4,4,
Girls School,4,5,5,4,3,3,3,1,
Detention,0,0,0,1,3,2,0,0,
Crisis Center,0,0,0,0,1,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2016","Feb 29, 2016","Mar 31, 2016","Apr 30, 2016","May 31, 2016","Jun 30, 2016","Jul 31, 2016","Aug 31, 2016",
Report Period,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,
Total Children in Care,18,18,19,18,20,21,18,16,
Total Family-like setting,3,3,2,0,0,0,2,2,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,3,3,2,0,0,0,2,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,15,15,17,18,20,21,16,14,
Group Home,5,5,5,5,6,6,4,3,
Residential Treatment,2,3,3,3,4,5,7,6,
Psychiatric RTC,2,2,3,4,5,5,4,3,
Boys School,5,4,5,5,4,4,1,1,
Girls School,1,1,1,1,1,1,0,1,
Detention,0,0,0,0,0,0,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2016","Oct 31, 2016","Nov 30, 2016","Dec 31, 2016","Jan 31, 2017","Feb 28, 2017","Mar 31, 2017","Apr 30, 2017",
