period,district,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Jan 2012,8,0,2,0,0,0,0,0,0,14,1,1,1,2,1,0,0,0,1,0,0,0,0,12,7,0,0,0
Feb 2012,8,0,2,0,0,0,0,0,0,14,1,1,1,2,1,0,0,0,1,0,0,0,0,12,7,0,0,0
Mar 2012,8,0,1,0,0,0,0,0,0,17,3,3,1,2,1,0,0,0,0,0,0,0,0,16,7,0,0,0
Apr 2012,8,0,1,0,0,0,0,0,0,17,2,3,1,2,1,0,0,0,0,0,0,0,0,16,7,0,1,0
May 2012,8,0,1,0,0,0,0,0,0,17,1,3,1,2,1,0,0,0,0,0,0,0,0,16,8,0,1,0
Jun 2012,8,0,1,0,0,0,0,0,0,19,0,2,3,2,1,0,0,0,0,0,0,0,0,18,10,0,1,0
Jul 2012,8,0,1,0,0,0,0,0,0,21,0,1,3,2,1,0,0,1,0,0,0,0,0,20,11,0,2,0
Aug 2012,8,0,2,0,0,0,0,0,0,22,0,2,2,2,1,0,0,0,0,0,0,1,0,20,12,0,2,0
Sep 2012,8,0,3,0,0,0,0,0,1,23,0,2,2,2,1,0,0,0,0,0,0,1,0,20,12,0,2,0
Oct 2012,8,0,3,0,0,0,0,0,2,27,0,3,4,1,1,0,0,0,0,0,0,0,0,24,12,0,4,0
Nov 2012,8,0,3,0,0,0,0,0,2,29,0,3,6,1,1,0,0,0,0,0,0,0,0,26,12,0,4,0
Dec 2012,8,0,4,0,0,0,0,0,3,30,1,3,6,1,1,0,0,0,0,0,0,0,0,26,10,0,5,0
Jan 2013,8,0,7,0,0,0,0,0,2,33,1,4,5,1,1,0,0,0,1,0,0,3,0,26,9,0,6,0
Feb 2013,8,0,6,0,0,0,0,0,1,32,0,3,7,1,1,0,0,0,1,0,0,3,0,26,9,0,6,0
Mar 2013,8,0,5,0,0,0,0,0,1,33,1,2,9,1,1,0,0,1,1,0,0,2,0,28,8,0,6,0
Apr 2013,8,0,8,0,0,0,0,0,3,33,0,2,8,1,2,0,0,1,1,0,0,2,0,25,8,0,5,0
May 2013,8,0,10,0,0,0,0,0,4,33,0,1,6,1,2,0,0,1,1,0,0,3,0,23,9,0,5,0
Jun 2013,8,0,6,0,0,0,0,0,1,31,1,2,7,1,2,0,0,1,0,0,0,3,0,25,8,0,5,0
