,Actual,,Cleared,,%Cleared,Stolen,,%Change,,,,
,,,,,,,,,,,,
Murder,7,,6,,85.70%,$0 ,,75.00%,,,,
Rape,68,,16,,23.50%,$0 ,,30.80%,,,,
Robbery,18,,5,,27.80%,"$7,185 ",,0.00%,,,,
Aggravated Assault,218,,130,,59.60%,$0 ,,-7.20%,,,,
Total Violent Crimes,311,,157,,50.50%,"$7,185 ",,0.60%,,,,
Burglary,437,,42,,9.60%,"$533,763 ",,-8.40%,,,,
Larceny,"2,085",,369,,17.70%,"$3,208,135 ",,-5.70%,,,,
MV Theft,210,,56,,26.70%,"$1,412,511 ",,-15.30%,,,,
Total Property Crimes,"2,732",,467,,17.10%,"$5,154,409 ",,-6.90%,,,,
Grand Total,"3,043",,624,,20.50%,"$5,161,594 ",,-6.20%,,,,
Arson,16,,6,,37.50%,"$125,420 ",,23.10%,,,,
,,,,,,,,3RD QT,,3RD QT,,
,,,,AGG.,,,,,,,,%
,MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2017,M,2016,M,
,,,,ASSAULT,,,,TOTAL,,TOTAL,,Change *
ALBANY COUNTY,1,0,1,8,26,133,11,180,,142,,26.80%
Sheriff,1,,,3,3,8,1,16,3,12,3,33.30%
Laramie,,,1,5,21,108,10,145,3,106,3,36.80%
Univ of Wyoming,,,,,2,17,,19,3,24,3,-20.80%
BIG HORN COUNTY,0,2,0,7,0,7,1,17,,9,,88.90%
Sheriff,,1,,2,,6,,9,3,8,3,12.50%
Lovell,,1,,5,,1,1,8,0,0,0,100.00%
Greybull,,,,,,,,0,3,1,3,-100.00%
CAMPBELL COUNTY,1,10,2,27,20,149,11,220,,293,,-24.90%
Sheriff,1,8,1,22,5,28,7,72,3,68,3,5.90%
Gillette,,2,1,5,15,121,4,148,3,225,3,-34.20%
CARBON COUNTY,0,3,0,5,3,38,10,59,,88,,-33.00%
Sheriff,,2,,,,1,2,5,3,13,3,-61.50%
Rawlins,,1,,5,3,36,8,53,3,0,0,100.00%
Saratoga,,,,,,1,,1,3,9,3,-88.90%
Hanna,,,,,,,,0,3,0,0,0.00%
CONVERSE COUNTY,0,0,0,1,0,13,0,14,,64,,-78.10%
Sheriff,,,,,,,,0,0,0,0,0.00%
Douglas,,,,1,,7,,8,1,47,3,-83.00%
Glenrock,,,,,,6,,6,3,17,3,-64.70%
CROOK COUNTY,0,0,0,0,2,6,0,8,,17,,-52.90%
Sheriff,,,,,2,6,,8,3,12,3,-33.30%
Sundance,,,,,,,,0,3,3,3,-100.00%
Moorcroft,,,,,,,,0,3,2,3,-100.00%
FREMONT COUNTY,0,0,0,6,13,180,8,207,,278,,-25.50%
Sheriff,,,,,,,,0,0,38,0,-100.00%
Lander,,,,,,42,2,44,3,71,3,-38.00%
Riverton,,,,6,13,138,6,163,3,169,3,-3.60%
GOSHEN COUNTY,0,0,0,6,3,11,0,20,,38,,-47.40%
Sheriff,,,,,,,,0,0,15,3,-100.00%
Torrington,,,,6,3,11,,20,3,23,3,-13.00%
HOT SPRINGS COUNTY,0,0,0,4,7,16,3,30,,22,,36.40%
Sheriff,,,,,3,1,3,7,3,7,3,0.00%
Thermopolis,,,,4,4,15,,23,3,15,1,53.30%
JOHNSON COUNTY,0,1,0,2,4,15,2,24,,25,,-4.00%
Sheriff,,1,,1,3,5,,10,3,7,2,42.90%
Buffalo,,,,1,1,10,2,14,3,18,3,-22.20%
LARAMIE COUNTY,2,8,10,62,117,610,74,883,,942,,-6.30%
Sheriff,1,2,,21,31,101,15,171,3,155,3,10.30%
Cheyenne,1,6,10,41,86,504,58,706,3,784,3,-9.90%
Pine Bluffs,,,,,,5,1,6,3,3,3,100.00%
,,,,,,,,3RD QT,,3RD QT,,
,,,,AGG.,,,,,,,,%
,MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2018,M,2017,M,
,,,,ASSAULT,,,,TOTAL,,TOTAL,,Change *
ALBANY COUNTY,0.598787879,2.556133829,4.625826367,16.06016592,27.30194501,129.0052549,18.98414603,162.852439,,183.9121951,,-18.35%
Sheriff,0.602060606,,,16.36790747,27.94421523,131.8566295,19.43444094,166.7466899,2.614626868,188.2912892,2.575913878,-18.53%
Laramie,0.605333333,2.571003717,4.891192701,16.67564902,28.58648546,134.708004,19.88473586,170.6409408,2.618541485,192.6703833,2.584384852,-18.71%
Univ of Wyoming,0.608606061,2.578438662,5.023875867,16.98339057,29.22875568,137.5593785,20.33503077,174.5351916,2.622456101,197.0494774,2.592855825,-18.89%
BIG HORN COUNTY,0.611878788,2.585873606,5.156559034,17.29113212,29.8710259,140.4107531,20.78532569,178.4294425,2.626370717,201.4285714,2.601326798,-19.06%
