"",Actual,Cleared,%Cleared,Stolen,%Change
Murder,6,2,33.3%,$0,500.0%
Rape,43,10,23.3%,$0,-8.5%
Robbery,10,3,30.0%,"$3,801",-28.6%
Agg. Assault,209,142,67.9%,$0,31.4%
Burglary,351,120,34.2%,"$376,678",98.3%
Larceny,"1,767",481,27.2%,"$1,576,758",-0.6%
MV Theft,132,22,16.7%,"$899,796",36.1%
Violent,268,157,58.6%,"$2,857,033",21.3%
Property,"2,250",623,27.7%,"$2,853,232",9.6%
Total,"2,518",780,31.0%,"$5,710,265",10.8%
Arson,6,1,16.7%,"$25,701",-33.3%
"",,,,,1ST,%
"",Change  AGG,1ST QT 2016,,M,QT 2015 M,
"",MURDER RAPE ROBBERY ASSLT,BURGLARY LARCENY MVT TOTAL,,,TOTAL,*
ALBANY,,,,,,
"",0 3 0 14,15 96 7 135,,,155,-12.9%
COUNTY,,,,,,
Sheriff,4,1 6 11,,3,8 3,37.5%
"",,,,,,
Laramie,3 10,13 69 7 102,,3,116 3,-12.1%
"",,,,,,
Univ of Wy,,1 21 22,,3,31 3,-29.0%
"",,,,,,
BIG HORN,,,,,,
"",0 1 0 2,2 2 1 8,,,11,-27.3%
COUNTY,,,,,,
Sheriff,1,2 3,,3,7 3,-57.1%
"",,,,,,
Lovell,,0,,3,2 3,-100.0%
"",,,,,,
Greybull,2,2 1 5,,3,2 3,150.0%
"",,,,,,
CAMPBELL,,,,,,
"",1 2 5 34,36 165 5 248,,,268,-7.5%
COUNTY,,,,,,
Sheriff,2 24,14 20 2 62,,3,56 3,10.7%
"",,,,,,
Gillette,1 5 10,22 145 3 186,,3,212 3,-12.3%
"",,,,,,
CARBON,,,,,,
"",0 0 0 0,0 2 0 2,,,49,-95.9%
COUNTY,,,,,,
Sheriff,,0,,3,2 3,-100.0%
"",,,,,,
Rawlins,,0,,3,45 3,-100.0%
"",,,,,,
Saratoga,,2 2,,3,2 3,0.0%
"",,,,,,
Hanna,,0,,3,0 3,0.0%
"",,,,,,
CONVERSE,,,,,,
"",0 0 0 8,6 32 1 47,,,48,-2.1%
COUNTY,,,,,,
Sheriff,,0,,3,4 3,-100.0%
"",,,,,,
Douglas,7,3 25 1 36,,3,38 3,-5.3%
"",,,,,,
Glenrock,1,3 7 11,,3,6 3,83.3%
"",,,,,,
CROOK,,,,,,
"",0 0 0 1,4 23 3 31,,,19,63.2%
COUNTY,,,,,,
Sheriff,1,3 11 2 17,,3,7 3,142.9%
"",,,,,,
Sundance,,6 6,,3,6 3,0.0%
"",,,,,,
Hulett,,0,,0,0 3,0.0%
"",,,,,,
Moorcroft,,1 6 1 8,,3,6 3,33.3%
"",,,,,,
FREMONT,,,,,,
"",0 1 1 15,12 140 12 181,,,256,-29.3%
COUNTY,,,,,,
Sheriff,6,4 10,,2,33 3,-69.7%
"",,,,,,
Lander,,37 4 41,,3,74 3,-44.6%
"",,,,,,
Riverton,1 1 9,12 99 8 130,,3,149 3,-12.8%
"",,,,,,
GOSHEN,,,,,,
"",0 0 0 13,7 27 0 47,,,36,30.6%
COUNTY,,,,,,
Sheriff,8,2 5 15,,3,17 3,-11.8%
"",,,,,,
Torrington,5,5 22 32,,3,36 3,-11.1%
"",,,,,,
OT SPRINGS,,,,,,
"",0 0 0 0,2 5 0 7,,,6,16.7%
COUNTY,,,,,,
Sheriff,,2 2,,3,6 3,-66.7%
"",,,,,,
Thermopolis,,2 3 5,,3,0 3,0.0%
"",,,,,,
JOHNSON,,,,,,
"",0 0 0 5,2 25 2 34,,,14,142.9%
COUNTY,,,,,,
Sheriff,2,2 1 5,,3,1 3,400.0%
"",,,,,,
Buffalo,3,24 2 29,,3,13 3,123.1%
"",,,,,,
LARAMIE,,,,,,
"",5 7 2 33,84 426 46 603,,,512,17.8%
COUNTY,,,,,,
Sheriff,1 2 1 9,24 64 13 114,,3,118 3,-3.4%
Cheyenne,4 5 1 24,57 362 33 486,,3,392 3,24.0%
Pine Bluffs,,3 3,,3,2 3,50.0%
"",,,,,,,,,,,,%
"",,,,,,,,1ST QT,,1ST QT,,Change
"",,,,AGG,,,,2016,M,2015,M,
"",MURDER,RAPE,ROBBERY,ASSLT,BURGLARY,LARCENY,MVT,TOTAL,,TOTAL,,*
LINCOLN,,,,,,,,,,,,
"",0,0,0,2,4,14,1,21,,30,,-30.0%
COUNTY,,,,,,,,,,,,
Sheriff,,,,2,1,2,1,6,3,21,3,-71.4%
"",,,,,,,,,,,,
Afton,,,,,3,10,,13,3,3,3,333.3%
"",,,,,,,,,,,,
Kemmerer,,,,,,2,,2,3,6,3,-66.7%
"",,,,,,,,,,,,
Diamondville,,,,,,,,0,3,0,3,0.0%
"",,,,,,,,,,,,
NATRONA,,,,,,,,,,,,
"",0,7,0,32,97,348,29,513,,474,,8.2%
COUNTY,,,,,,,,,,,,
Sheriff,,5,,7,19,24,6,61,3,100,3,-39.0%
"",,,,,,,,,,,,
Casper,,2,,20,71,310,22,425,3,340,3,25.0%
"",,,,,,,,,,,,
Mills,,,,,3,2,1,6,3,29,3,-79.3%
"",,,,,,,,,,,,
Evansville,,,,5,4,12,,21,3,5,3,320.0%
"",,,,,,,,,,,,
NIOBRARA,,,,,,,,,,,,
"",0,0,0,0,0,0,0,0,,0,,0.0%
COUNTY,,,,,,,,,,,,
Lusk,,,,,,,,0,0,0,3,0.0%
"",,,,,,,,,,,,
PARK,,,,,,,,,,,,
"",0,1,1,12,16,75,1,106,,92,,15.2%
COUNTY,,,,,,,,,,,,
Sheriff,,,1,9,7,6,,23,3,15,3,53.3%
"",,,,,,,,,,,,
