Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Total Children in Care,8,100.0%,10,,100.0%,12,100.0%,,13,100.0%,15,,100.0%,15,100.0%,,16,100.0%,17,,100.0%
Total Family-like setting,1,12.5%,1,,10.0%,2,16.7%,,2,15.4%,2,,13.3%,2,13.3%,,2,12.5%,2,,11.8%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,12.5%,1,,10.0%,2,16.7%,,2,15.4%,2,,13.3%,2,13.3%,,2,12.5%,2,,11.8%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,7,87.5%,9,,90.0%,10,83.3%,,11,84.6%,13,,86.7%,13,86.7%,,14,87.5%,15,,88.2%
Group Home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,6.7%,,1,6.3%,1,,5.9%
Residential Treatment,3,37.5%,3,,30.0%,4,33.3%,,4,30.8%,5,,33.3%,4,26.7%,,4,25.0%,5,,29.4%
Psychiatric RTC,1,12.5%,1,,10.0%,2,16.7%,,2,15.4%,1,,6.7%,1,6.7%,,1,6.3%,1,,5.9%
Boys School,1,12.5%,3,,30.0%,3,25.0%,,3,23.1%,6,,40.0%,6,40.0%,,6,37.5%,6,,35.3%
Girls School,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Detention,1,12.5%,1,,10.0%,1,8.3%,,1,7.7%,0,,0.0%,0,0.0%,,2,12.5%,2,,11.8%
Crisis Center,1,12.5%,1,,10.0%,0,0.0%,,1,7.7%,1,,6.7%,1,6.7%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2012",,"Feb 29, 2012",,,"Mar 31, 2012",,,"Apr 30, 2012",,"May 31, 2012",,,"Jun 30, 2012",,,"Jul 31, 2012",,"Aug 31, 2012",,
Report Period,Sep 2012,,Oct 2012,,,Nov 2012,,,Dec 2012,,Jan 2013,,,Feb 2013,,,Mar 2013,,Apr 2013,,
Total Children in Care,18,100.0%,20,,100.0%,21,100.0%,,23,100.0%,19,,100.0%,18,100.0%,,19,100.0%,18,,100.0%
Total Family-like setting,2,11.1%,2,,10.0%,3,14.3%,,3,13.0%,3,,15.8%,4,22.2%,,6,31.6%,6,,33.3%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,2,11.1%,2,,10.0%,3,14.3%,,3,13.0%,2,,10.5%,2,11.1%,,4,21.1%,4,,22.2%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.3%,2,11.1%,,2,10.5%,2,,11.1%
