Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Total Children in Care,3,100.0%,4,,100.0%,4,100.0%,,6,100.0%,9,,100.0%,14,100.0%,,19,100.0%,21,,100.0%
Total Family-like setting,1,33.3%,1,,25.0%,1,25.0%,,1,16.7%,0,,0.0%,1,7.1%,,2,10.5%,3,,14.3%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,33.3%,1,,25.0%,1,25.0%,,1,16.7%,0,,0.0%,1,7.1%,,1,5.3%,1,,4.8%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,5.3%,2,,9.5%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,2,66.7%,3,,75.0%,3,75.0%,,5,83.3%,9,,100.0%,13,92.9%,,17,89.5%,18,,85.7%
Group Home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,11.1%,2,14.3%,,2,10.5%,3,,14.3%
Residential Treatment,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,11.1%,2,14.3%,,2,10.5%,2,,9.5%
Psychiatric RTC,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,11.1%,1,7.1%,,1,5.3%,1,,4.8%
Boys School,2,66.7%,2,,50.0%,2,50.0%,,2,33.3%,3,,33.3%,5,35.7%,,8,42.1%,8,,38.1%
Girls School,0,0.0%,1,,25.0%,1,25.0%,,2,33.3%,2,,22.2%,2,14.3%,,2,10.5%,2,,9.5%
Detention,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,7.1%,,2,10.5%,1,,4.8%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,1,16.7%,1,,11.1%,0,0.0%,,0,0.0%,1,,4.8%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
