Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Total Children in Care,9,100.0%,9,,100.0%,10,100.0%,,12,100.0%,14,,100.0%,16,100.0%,,18,100.0%,22,,100.0%
Total Family-like setting,0,0.0%,1,,11.1%,1,10.0%,,1,8.3%,2,,14.3%,2,12.5%,,2,11.1%,2,,9.1%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,1,,11.1%,1,10.0%,,1,8.3%,1,,7.1%,1,6.3%,,1,5.6%,1,,4.5%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,7.1%,1,6.3%,,1,5.6%,1,,4.5%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,9,100.0%,8,,88.9%,9,90.0%,,11,91.7%,11,,78.6%,13,81.3%,,15,83.3%,19,,86.4%
Group Home,5,55.6%,4,,44.4%,4,40.0%,,4,33.3%,3,,21.4%,3,18.8%,,3,16.7%,5,,22.7%
Residential Treatment,3,33.3%,2,,22.2%,3,30.0%,,3,25.0%,5,,35.7%,6,37.5%,,6,33.3%,7,,31.8%
Psychiatric RTC,0,0.0%,1,,11.1%,1,10.0%,,1,8.3%,1,,7.1%,1,6.3%,,2,11.1%,2,,9.1%
Boys School,1,11.1%,1,,11.1%,1,10.0%,,1,8.3%,1,,7.1%,2,12.5%,,3,16.7%,4,,18.2%
Girls School,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Detention,0,0.0%,0,,0.0%,0,0.0%,,2,16.7%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
