Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Total Children in Care,14,100.0%,14,,100.0%,17,100.0%,,17,100.0%,17,,100.0%,19,100.0%,,21,100.0%,22,,100.0%
Total Family-like setting,2,14.3%,2,,14.3%,1,5.9%,,1,5.9%,1,,5.9%,1,5.3%,,1,4.8%,2,,9.1%
Relative foster home,1,7.1%,1,,7.1%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.5%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,1,7.1%,1,,7.1%,1,5.9%,,1,5.9%,1,,5.9%,1,5.3%,,1,4.8%,1,,4.5%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,12,85.7%,12,,85.7%,16,94.1%,,16,94.1%,16,,94.1%,18,94.7%,,20,95.2%,20,,90.9%
Group Home,1,7.1%,1,,7.1%,3,17.6%,,3,17.6%,3,,17.6%,2,10.5%,,1,4.8%,2,,9.1%
Residential Treatment,7,50.0%,7,,50.0%,7,41.2%,,7,41.2%,8,,47.1%,10,52.6%,,11,52.4%,12,,54.5%
Psychiatric RTC,0,0.0%,0,,0.0%,0,0.0%,,1,5.9%,1,,5.9%,1,5.3%,,2,9.5%,2,,9.1%
Boys School,1,7.1%,1,,7.1%,1,5.9%,,1,5.9%,1,,5.9%,3,15.8%,,3,14.3%,2,,9.1%
Girls School,2,14.3%,2,,14.3%,2,11.8%,,2,11.8%,2,,11.8%,2,10.5%,,2,9.5%,2,,9.1%
Detention,1,7.1%,1,,7.1%,3,17.6%,,2,11.8%,1,,5.9%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,4.8%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2012",,"Feb 29, 2012",,,"Mar 31, 2012",,,"Apr 30, 2012",,"May 31, 2012",,,"Jun 30, 2012",,,"Jul 31, 2012",,"Aug 31, 2012",,
Report Period,Sep 2012,,Oct 2012,,,Nov 2012,,,Dec 2012,,Jan 2013,,,Feb 2013,,,Mar 2013,,Apr 2013,,
Total Children in Care,23,100.0%,27,,100.0%,29,100.0%,,30,100.0%,33,,100.0%,32,100.0%,,33,100.0%,33,,100.0%
Total Family-like setting,3,13.0%,3,,11.1%,3,10.3%,,4,13.3%,7,,21.2%,6,18.8%,,5,15.2%,8,,24.2%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,3.0%,1,3.1%,,1,3.0%,1,,3.0%
Non-relative foster home,1,4.3%,0,,0.0%,0,0.0%,,0,0.0%,3,,9.1%,3,9.4%,,2,6.1%,2,,6.1%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,4.3%,2,,7.4%,2,6.9%,,3,10.0%,2,,6.1%,1,3.1%,,1,3.0%,3,,9.1%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,1,4.3%,1,,3.7%,1,3.4%,,1,3.3%,1,,3.0%,1,3.1%,,1,3.0%,2,,6.1%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,20,87.0%,24,,88.9%,26,89.7%,,26,86.7%,26,,78.8%,26,81.3%,,28,84.8%,25,,75.8%
Group Home,2,8.7%,3,,11.1%,3,10.3%,,3,10.0%,4,,12.1%,3,9.4%,,2,6.1%,2,,6.1%
Residential Treatment,12,52.2%,12,,44.4%,12,41.4%,,10,33.3%,9,,27.3%,9,28.1%,,8,24.2%,8,,24.2%
Psychiatric RTC,2,8.7%,4,,14.8%,4,13.8%,,5,16.7%,6,,18.2%,6,18.8%,,6,18.2%,5,,15.2%
Boys School,2,8.7%,4,,14.8%,6,20.7%,,6,20.0%,5,,15.2%,7,21.9%,,9,27.3%,8,,24.2%
Girls School,2,8.7%,1,,3.7%,1,3.4%,,1,3.3%,1,,3.0%,1,3.1%,,1,3.0%,1,,3.0%
Detention,0,0.0%,0,,0.0%,0,0.0%,,1,3.3%,1,,3.0%,0,0.0%,,1,3.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,3.0%,1,,3.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
