Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Total Children in Care,19,100.0%,21,,100.0%,27,100.0%,,30,100.0%,33,,100.0%,36,100.0%,,38,100.0%,41,,100.0%
Total Family-like setting,4,21.1%,3,,14.3%,5,18.5%,,6,20.0%,6,,18.2%,7,19.4%,,6,15.8%,6,,14.6%
Relative foster home,0,0.0%,0,,0.0%,1,3.7%,,1,3.3%,1,,3.0%,1,2.8%,,1,2.6%,1,,2.4%
Non-relative foster home,3,15.8%,3,,14.3%,4,14.8%,,5,16.7%,5,,15.2%,6,16.7%,,5,13.2%,5,,12.2%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,5.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,15,78.9%,18,,85.7%,22,81.5%,,24,80.0%,27,,81.8%,29,80.6%,,32,84.2%,35,,85.4%
Group Home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Residential Treatment,13,68.4%,17,,81.0%,19,70.4%,,18,60.0%,20,,60.6%,18,50.0%,,19,50.0%,18,,43.9%
Psychiatric RTC,1,5.3%,1,,4.8%,1,3.7%,,2,6.7%,2,,6.1%,3,8.3%,,4,10.5%,8,,19.5%
Boys School,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,3.0%,3,8.3%,,4,10.5%,6,,14.6%
Girls School,0,0.0%,0,,0.0%,1,3.7%,,2,6.7%,2,,6.1%,2,5.6%,,2,5.3%,2,,4.9%
Detention,1,5.3%,0,,0.0%,1,3.7%,,2,6.7%,2,,6.1%,2,5.6%,,3,7.9%,1,,2.4%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,2.8%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2012",,"Feb 29, 2012",,,"Mar 31, 2012",,,"Apr 30, 2012",,"May 31, 2012",,,"Jun 30, 2012",,,"Jul 31, 2012",,"Aug 31, 2012",,
Report Period,Sep 2012,,Oct 2012,,,Nov 2012,,,Dec 2012,,Jan 2013,,,Feb 2013,,,Mar 2013,,Apr 2013,,
Total Children in Care,43,100.0%,46,,100.0%,55,100.0%,,60,100.0%,57,,100.0%,56,100.0%,,60,100.0%,62,,100.0%
Total Family-like setting,6,14.0%,5,,10.9%,7,12.7%,,6,10.0%,7,,12.3%,8,14.3%,,11,18.3%,9,,14.5%
Relative foster home,1,2.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,1.8%,,0,0.0%,0,,0.0%
Non-relative foster home,5,11.6%,5,,10.9%,7,12.7%,,6,10.0%,7,,12.3%,7,12.5%,,10,16.7%,8,,12.9%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,1.7%,1,,1.6%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,37,86.0%,41,,89.1%,48,87.3%,,54,90.0%,50,,87.7%,48,85.7%,,49,81.7%,53,,85.5%
Group Home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,1.8%,0,0.0%,,1,1.7%,1,,1.6%
Residential Treatment,18,41.9%,21,,45.7%,23,41.8%,,25,41.7%,23,,40.4%,22,39.3%,,23,38.3%,24,,38.7%
Psychiatric RTC,8,18.6%,10,,21.7%,12,21.8%,,11,18.3%,11,,19.3%,11,19.6%,,7,11.7%,6,,9.7%
Boys School,6,14.0%,6,,13.0%,6,10.9%,,7,11.7%,9,,15.8%,7,12.5%,,7,11.7%,7,,11.3%
Girls School,2,4.7%,2,,4.3%,2,3.6%,,2,3.3%,1,,1.8%,1,1.8%,,3,5.0%,5,,8.1%
Detention,3,7.0%,2,,4.3%,5,9.1%,,7,11.7%,5,,8.8%,7,12.5%,,8,13.3%,10,,16.1%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,2,3.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2012",,"Oct 31, 2012",,,"Nov 30, 2012",,,"Dec 31, 2012",,"Jan 31, 2013",,,"Feb 28, 2013",,,"Mar 31, 2013",,"Apr 30, 2013",,
Report Period,May 2013,,Jun 2013,,,Jul 2013,,,Aug 2013,,Sep 2013,,,Oct 2013,,,Nov 2013,,Dec 2013,,
Total Children in Care,70,100.0%,76,,100.0%,80,100.0%,,70,100.0%,61,,100.0%,60,100.0%,,59,100.0%,56,,100.0%
Total Family-like setting,10,14.3%,10,,13.2%,10,12.5%,,9,12.9%,5,,8.2%,7,11.7%,,7,11.9%,5,,8.9%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,8,11.4%,9,,11.8%,7,8.8%,,8,11.4%,5,,8.2%,6,10.0%,,7,11.9%,5,,8.9%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,2,2.9%,1,,1.3%,3,3.8%,,1,1.4%,0,,0.0%,1,1.7%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,59,84.3%,66,,86.8%,70,87.5%,,61,87.1%,56,,91.8%,53,88.3%,,52,88.1%,51,,91.1%
Group Home,1,1.4%,1,,1.3%,1,1.3%,,1,1.4%,1,,1.6%,1,1.7%,,0,0.0%,0,,0.0%
Residential Treatment,27,38.6%,32,,42.1%,33,41.3%,,31,44.3%,28,,45.9%,26,43.3%,,24,40.7%,25,,44.6%
Psychiatric RTC,5,7.1%,6,,7.9%,8,10.0%,,7,10.0%,7,,11.5%,8,13.3%,,6,10.2%,6,,10.7%
Boys School,13,18.6%,13,,17.1%,15,18.8%,,12,17.1%,14,,23.0%,11,18.3%,,12,20.3%,10,,17.9%
Girls School,5,7.1%,5,,6.6%,5,6.3%,,4,5.7%,4,,6.6%,2,3.3%,,2,3.4%,1,,1.8%
Detention,8,11.4%,9,,11.8%,8,10.0%,,5,7.1%,1,,1.6%,5,8.3%,,8,13.6%,8,,14.3%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,1,1.4%,1,,1.6%,0,0.0%,,0,0.0%,1,,1.8%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,1,1.4%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2013",,"Jun 30, 2013",,,"Jul 31, 2013",,,"Aug 31, 2013",,"Sep 30, 2013",,,"Oct 31, 2013",,,"Nov 30, 2013",,"Dec 31, 2013",,
Report Period,Jan 2014,,Feb 2014,,,Mar 2014,,,Apr 2014,,May 2014,,,Jun 2014,,,Jul 2014,,Aug 2014,,
Total Children in Care,56,100.0%,61,,100.0%,64,100.0%,,65,100.0%,58,,100.0%,55,100.0%,,53,100.0%,50,,100.0%
