Year,Reporting Counties,"2015 Population Estimates","2015 Population Estimates","2015 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2015,"Albany","38,100","2,400","6,200","24","--","*","--","13","--"
2015,"Big Horn","12,000","1,500","3,100","14","--","5","--","14","--"
2015,"Campbell","49,300","5,800","13,900","110","--","30","--","100","--"
2015,"Carbon","15,600","1,600","3,700","10","--","8","--","165","--"
2015,"Converse","14,300","1,600","3,700","32","--","10","--","32","--"
2015,"Crook","7,400","800","1,800","7","--","*","--","7","--"
2015,"Fremont","40,400","4,300","10,300","52","--","8","--","49","--"
2015,"Goshen","13,600","1,300","2,800","15","--","5","--","13","--"
2015,"Hot Springs","4,700","400","1,000","*","--","*","--","5","--"
2015,"Johnson","8,600","800","1,900","11","--","*","--","14","--"
2015,"Laramie","97,200","9,900","22,900","165","--","32","--","91","--"
2015,"Lincoln","18,800","2,300","5,100","8","--","6","--","7","--"
2015,"Natrona","82,200","8,300","19,900","37","--","20","--","78","--"
2015,"Niobrara","2,500","200","500","*","--","0","--","*","--"
2015,"Park","29,100","2,600","5,900","25","--","15","--","32","--"
2015,"Platte","8,800","800","1,800","19","--","16","--","16","--"
2015,"Sheridan","30,100","2,900","6,500","21","--","12","--","25","--"
2015,"Sublette","9,900","1,000","2,400","11","--","*","--","7","--"
2015,"Sweetwater","44,700","5,200","12,100","78","--","44","--","87","--"
2015,"Teton","23,100","1,800","4,300","14","--","*","--","*","--"
2015,"Uinta","20,800","2,700","6,200","33","--","0","--","23","--"
2015,"Washakie","8,300","1,000","2,000","12","--","0","--","12","--"
2015,"Weston","7,200","700","1,600","8","--","0","--","8","--"
2015,
