Year,Reporting Counties,"1997 Population Estimates","1997 Population Estimates","1997 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
1997,"Albany","29,700","2,700","5,800","45","--","10","--","17","--"
1997,"Big Horn","11,000","1,600","3,000","45","--","*","--","*","--"
1997,"Campbell","32,100","5,400","10,800","65","--","11","--","10","--"
1997,"Carbon","15,800","2,300","4,300","36","--","9","--","12","--"
1997,"Converse","12,300","2,000","3,700","25","--","*","--","0","--"
1997,"Crook","5,800","900","1,700","18","--","*","--","8","--"
1997,"Fremont","35,900","5,200","10,500","75","--","8","--","14","--"
1997,"Goshen","12,800","1,700","3,300","25","--","6","--","6","--"
1997,"Hot Springs","4,700","600","1,100","15","--","*","--","*","--"
1997,"Johnson","6,800","900","1,600","0","--","5","--","0","--"
1997,"Laramie","78,500","9,500","19,800","180","--","38","--","41","--"
1997,"Lincoln","13,900","2,500","4,900","35","--","7","--","*","--"
1997,"Natrona","63,600","8,400","16,900","303","--","26","--","46","--"
1997,"Niobrara","2,600","300","600","7","--","0","--","0","--"
1997,"Park","25,700","3,300","6,500","89","--","*","--","25","--"
1997,"Platte","8,500","1,200","2,200","32","--","*","--","5","--"
1997,"Sheridan","25,200","3,300","6,100","33","--","17","--","11","--"
1997,"Sublette","5,700","700","1,400","6","--","*","--","0","--"
1997,"Sweetwater","39,700","6,500","12,500","125","--","52","--","31","--"
1997,"Teton","13,900","1,400","3,100","20","--","*","--","6","--"
1997,"Uinta","20,300","3,800","7,600","42","--","6","--","13","--"
1997,"Washakie","8,600","1,300","2,400","0","--","0","--","0","--"
1997,"Weston","6,500","900","1,700","13","--","*","--","0","--"
1997,
