Year,Reporting Counties,"2012 Population Estimates","2012 Population Estimates","2012 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2012,"Albany","37,400","2,400","6,200","25","--","5","--","10","--"
2012,"Big Horn","11,800","1,400","3,000","27","--","6","--","12","--"
2012,"Campbell","47,900","5,500","13,400","126","--","33","--","79","--"
2012,"Carbon","15,700","1,600","3,600","11","--","7","--","12","--"
2012,"Converse","14,000","1,600","3,500","32","--","*","--","18","--"
2012,"Crook","7,100","700","1,700","5","--","*","--","5","--"
2012,"Fremont","41,100","4,300","10,400","24","--","*","--","12","--"
2012,"Goshen","13,700","1,300","2,700","36","--","12","--","5","--"
2012,"Hot Springs","4,800","500","1,000","6","--","*","--","11","--"
2012,"Johnson","8,600","800","1,900","6","--","*","--","8","--"
2012,"Laramie","94,800","9,500","22,400","76","--","18","--","36","--"
2012,"Lincoln","17,900","2,200","4,900","13","--","0","--","6","--"
2012,"Natrona","78,700","7,900","18,700","60","--","25","--","62","--"
2012,"Niobrara","2,500","200","400","0","--","0","--","*","--"
2012,"Park","28,800","2,700","6,000","41","--","10","--","25","--"
2012,"Platte","8,700","800","1,700","24","--","*","--","7","--"
2012,"Sheridan","29,600","2,900","6,400","20","--","20","--","22","--"
2012,"Sublette","10,400","1,100","2,500","15","--","*","--","0","--"
2012,"Sweetwater","45,100","5,100","12,100","72","--","32","--","64","--"
2012,"Teton","21,700","1,700","4,200","19","--","*","--","*","--"
2012,"Uinta","21,000","2,800","6,200","25","--","0","--","6","--"
2012,"Washakie","8,400","1,000","2,100","25","--","0","--","16","--"
2012,"Weston","7,100","700","1,500","5","--","0","--","*","--"
2012,
