Year,Reporting Counties,"1999 Population Estimates","1999 Population Estimates","1999 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
1999,"Albany","29,100","2,500","5,400","24","--","11","--","6","--"
1999,"Big Horn","11,200","1,600","3,000","28","--","0","--","7","--"
1999,"Campbell","32,700","5,300","10,600","48","--","8","--","20","--"
1999,"Carbon","15,400","2,100","4,000","36","--","5","--","17","--"
1999,"Converse","12,400","1,900","3,600","23","--","7","--","12","--"
1999,"Crook","5,800","800","1,600","11","--","0","--","*","--"
1999,"Fremont","36,200","5,100","10,200","41","--","0","--","24","--"
1999,"Goshen","12,700","1,600","3,100","15","--","8","--","9","--"
1999,"Hot Springs","4,500","600","1,000","8","--","0","--","*","--"
1999,"Johnson","6,900","900","1,600","*","--","*","--","*","--"
1999,"Laramie","78,900","9,200","19,300","172","--","63","--","45","--"
1999,"Lincoln","14,000","2,500","4,700","26","--","7","--","7","--"
1999,"Natrona","63,200","7,800","15,900","0","--","0","--","0","--"
1999,"Niobrara","2,700","300","600","0","--","6","--","0","--"
1999,"Park","25,500","3,100","6,200","97","--","5","--","21","--"
1999,"Platte","8,600","1,100","2,200","11","--","7","--","*","--"
1999,"Sheridan","25,100","3,200","5,900","32","--","24","--","8","--"
1999,"Sublette","5,800","700","1,400","6","--","*","--","*","--"
1999,"Sweetwater","39,300","6,200","12,100","126","--","166","--","27","--"
1999,"Teton","14,500","1,400","3,100","20","--","*","--","10","--"
1999,"Uinta","20,300","3,700","7,400","64","--","5","--","10","--"
1999,"Washakie","8,500","1,200","2,300","--","--","--","--","--","--"
1999,"Weston","6,400","900","1,600","11","--","0","--","*","--"
1999,
