Year,Reporting Counties,"2013 Population Estimates","2013 Population Estimates","2013 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2013,"Albany","37,600","2,400","6,100","35","--","*","--","9","--"
2013,"Big Horn","12,000","1,400","3,000","30","--","5","--","20","--"
2013,"Campbell","48,200","5,600","13,500","102","--","25","--","82","--"
2013,"Carbon","15,800","1,600","3,700","8","--","10","--","18","--"
2013,"Converse","14,300","1,600","3,600","57","--","*","--","15","--"
2013,"Crook","7,200","700","1,700","5","--","*","--","6","--"
2013,"Fremont","41,100","4,300","10,400","31","--","*","--","18","--"
2013,"Goshen","13,600","1,300","2,700","17","--","5","--","12","--"
2013,"Hot Springs","4,900","500","1,000","6","--","*","--","7","--"
2013,"Johnson","8,600","800","1,900","12","--","0","--","12","--"
2013,"Laramie","96,000","9,600","22,600","152","--","20","--","52","--"
2013,"Lincoln","18,300","2,200","5,000","15","--","*","--","*","--"
2013,"Natrona","81,100","8,200","19,300","57","--","25","--","101","--"
2013,"Niobrara","2,500","200","500","*","--","*","--","*","--"
2013,"Park","29,200","2,700","6,000","31","--","5","--","20","--"
2013,"Platte","8,700","900","1,800","17","--","17","--","16","--"
2013,"Sheridan","29,800","2,900","6,400","23","--","16","--","21","--"
2013,"Sublette","10,100","1,100","2,400","7","--","*","--","*","--"
2013,"Sweetwater","45,200","5,200","12,200","94","--","23","--","79","--"
2013,"Teton","22,400","1,700","4,300","16","--","*","--","*","--"
2013,"Uinta","21,000","2,800","6,200","12","--","*","--","11","--"
2013,"Washakie","8,400","1,000","2,100","30","--","*","--","11","--"
2013,"Weston","7,200","700","1,500","8","--","*","--","5","--"
2013,
