Year,Reporting Counties,"2003 Population Estimates","2003 Population Estimates","2003 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2003,"Albany","31,500","2,400","5,600","20","--","*","--","9","--"
2003,"Big Horn","11,200","1,500","2,900","40","--","*","--","14","--"
2003,"Campbell","36,400","4,900","10,100","96","--","17","--","15","--"
2003,"Carbon","15,400","1,600","3,300","21","--","8","--","12","--"
2003,"Converse","12,300","1,600","3,000","23","--","7","--","20","--"
2003,"Crook","6,000","800","1,400","6","--","5","--","0","--"
2003,"Fremont","36,100","4,400","9,100","54","--","9","--","18","--"
2003,"Goshen","12,200","1,400","2,700","14","--","14","--","13","--"
2003,"Hot Springs","4,600","500","900","10","--","*","--","6","--"
2003,"Johnson","7,600","800","1,600","5","--","*","--","6","--"
2003,"Laramie","84,400","9,700","20,800","114","--","58","--","47","--"
2003,"Lincoln","15,200","2,100","4,100","29","--","11","--","5","--"
2003,"Natrona","68,200","7,800","16,500","75","--","21","--","68","--"
2003,"Niobrara","2,300","300","400","7","--","*","--","*","--"
2003,"Park","26,300","2,900","5,700","49","--","8","--","33","--"
2003,"Platte","8,700","1,000","1,900","12","--","11","--","12","--"
2003,"Sheridan","27,100","3,000","5,900","37","--","39","--","25","--"
2003,"Sublette","6,400","800","1,500","6","--","*","--","*","--"
2003,"Sweetwater","37,200","4,700","9,700","128","--","53","--","25","--"
2003,"Teton","18,700","1,600","3,500","28","--","7","--","5","--"
2003,"Uinta","19,800","2,900","5,900","44","--","10","--","16","--"
2003,"Washakie","7,900","1,100","2,000","13","--","0","--","*","--"
2003,"Weston","6,700","700","1,400","7","--","*","--","0","--"
2003,
