Year,Reporting Counties,"2009 Population Estimates","2009 Population Estimates","2009 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2009,"Albany","34,000","2,100","5,600","33","--","0","--","--","--"
2009,"Big Horn","11,600","1,400","3,000","7","--","*","--","--","--"
2009,"Campbell","44,000","5,100","12,300","80","--","35","--","--","--"
2009,"Carbon","15,700","1,600","3,800","18","--","22","--","--","--"
2009,"Converse","13,600","1,500","3,400","43","--","16","--","--","--"
2009,"Crook","6,700","700","1,500","13","--","0","--","--","--"
2009,"Fremont","38,700","4,200","10,000","23","--","7","--","--","--"
2009,"Goshen","12,300","1,300","2,700","16","--","13","--","--","--"
2009,"Hot Springs","4,600","400","900","9","--","*","--","--","--"
2009,"Johnson","8,500","900","1,900","10","--","*","--","--","--"
2009,"Laramie","88,900","9,000","21,600","122","--","35","--","--","--"
2009,"Lincoln","17,000","2,100","4,900","18","--","*","--","--","--"
2009,"Natrona","74,500","7,800","18,200","75","--","40","--","--","--"
2009,"Niobrara","2,400","200","500","*","--","0","--","--","--"
2009,"Park","28,000","2,700","5,900","43","--","9","--","--","--"
2009,"Platte","8,200","900","1,800","15","--","5","--","--","--"
2009,"Sheridan","29,200","2,900","6,500","27","--","23","--","--","--"
2009,"Sublette","8,800","1,000","2,300","14","--","10","--","--","--"
2009,"Sweetwater","41,200","4,600","11,500","95","--","36","--","--","--"
2009,"Teton","20,700","1,400","3,900","14","--","*","--","--","--"
2009,"Uinta","20,900","2,800","6,400","41","--","7","--","--","--"
2009,"Washakie","7,900","1,000","2,000","10","--","*","--","--","--"
2009,"Weston","7,000","700","1,500","9","--","0","--","--","--"
2009,
