Year,Reporting Counties,"1998 Population Estimates","1998 Population Estimates","1998 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
1998,"Albany","29,300","2,600","5,500","43","--","15","--","12","--"
1998,"Big Horn","11,300","1,700","3,100","40","--","*","--","6","--"
1998,"Campbell","32,400","5,300","10,700","79","--","10","--","9","--"
1998,"Carbon","15,500","2,200","4,100","20","--","15","--","22","--"
1998,"Converse","12,300","1,900","3,700","--","--","--","--","--","--"
1998,"Crook","5,800","800","1,700","12","--","0","--","*","--"
1998,"Fremont","36,100","5,200","10,300","49","--","0","--","17","--"
1998,"Goshen","12,800","1,700","3,200","37","--","24","--","14","--"
1998,"Hot Springs","4,600","600","1,100","12","--","8","--","*","--"
1998,"Johnson","6,800","900","1,600","11","--","0","--","0","--"
1998,"Laramie","78,600","9,400","19,600","141","--","43","--","29","--"
1998,"Lincoln","13,800","2,500","4,800","30","--","*","--","*","--"
1998,"Natrona","63,200","8,000","16,300","240","--","5","--","48","--"
1998,"Niobrara","2,700","300","600","6","--","*","--","*","--"
1998,"Park","25,800","3,200","6,500","92","--","12","--","38","--"
1998,"Platte","8,600","1,200","2,200","13","--","*","--","5","--"
1998,"Sheridan","25,200","3,300","6,000","49","--","*","--","13","--"
1998,"Sublette","5,700","700","1,400","*","--","0","--","*","--"
1998,"Sweetwater","39,700","6,400","12,400","164","--","40","--","21","--"
1998,"Teton","14,200","1,400","3,100","28","--","*","--","12","--"
1998,"Uinta","20,400","3,800","7,600","49","--","*","--","13","--"
1998,"Washakie","8,700","1,300","2,400","--","--","--","--","--","--"
1998,"Weston","6,500","900","1,700","16","--","*","--","*","--"
1998,
