Year,Reporting Counties,"2000 Population Estimates","2000 Population Estimates","2000 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2000,"Albany","31,800","2,600","5,700","20","--","9","--","12","--"
2000,"Big Horn","11,400","1,600","3,200","20","--","*","--","6","--"
2000,"Campbell","34,000","5,200","10,300","47","--","7","--","21","--"
2000,"Carbon","15,600","1,900","3,600","33","--","8","--","19","--"
2000,"Converse","12,100","1,700","3,400","28","--","5","--","5","--"
2000,"Crook","5,900","900","1,500","5","--","*","--","*","--"
2000,"Fremont","35,800","4,800","9,500","28","--","*","--","12","--"
2000,"Goshen","12,600","1,500","3,000","16","--","*","--","11","--"
2000,"Hot Springs","4,900","600","1,000","13","--","*","--","0","--"
2000,"Johnson","7,100","900","1,700","10","--","*","--","*","--"
2000,"Laramie","81,700","9,600","20,900","148","--","53","--","44","--"
2000,"Lincoln","14,600","2,300","4,400","24","--","7","--","5","--"
2000,"Natrona","66,600","8,200","17,000","115","--","17","--","47","--"
2000,"Niobrara","2,400","300","500","*","--","*","--","0","--"
2000,"Park","25,800","3,200","6,200","88","--","6","--","27","--"
2000,"Platte","8,800","1,200","2,200","25","--","*","--","6","--"
2000,"Sheridan","26,600","3,300","6,300","39","--","34","--","18","--"
2000,"Sublette","6,000","800","1,500","5","--","0","--","*","--"
2000,"Sweetwater","37,500","5,300","10,600","167","--","44","--","23","--"
2000,"Teton","18,400","1,700","3,600","20","--","*","--","12","--"
2000,"Uinta","19,700","3,300","6,400","95","--","6","--","11","--"
2000,"Washakie","8,300","1,200","2,200","38","--","*","--","*","--"
2000,"Weston","6,600","900","1,600","7","--","*","--","0","--"
2000,
