Year,Reporting Counties,"2002 Population Estimates","2002 Population Estimates","2002 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2002,"Albany","31,600","2,400","5,600","32","--","11","--","15","--"
2002,"Big Horn","11,200","1,500","3,000","32","--","0","--","12","--"
2002,"Campbell","36,200","5,200","10,400","74","--","11","--","15","--"
2002,"Carbon","15,400","1,700","3,500","17","--","7","--","8","--"
2002,"Converse","12,400","1,700","3,200","37","--","*","--","16","--"
2002,"Crook","5,900","800","1,400","12","--","*","--","*","--"
2002,"Fremont","36,000","4,600","9,400","73","--","*","--","18","--"
2002,"Goshen","12,300","1,500","2,800","16","--","8","--","10","--"
2002,"Hot Springs","4,700","500","1,000","9","--","*","--","9","--"
2002,"Johnson","7,400","900","1,600","*","--","*","--","*","--"
2002,"Laramie","83,200","9,700","20,900","117","--","46","--","57","--"
2002,"Lincoln","14,900","2,200","4,200","29","--","7","--","*","--"
2002,"Natrona","67,500","8,100","16,900","73","--","18","--","41","--"
2002,"Niobrara","2,300","300","500","*","--","0","--","*","--"
2002,"Park","26,000","3,100","5,900","73","--","13","--","23","--"
2002,"Platte","8,800","1,100","2,000","6","--","5","--","13","--"
2002,"Sheridan","27,000","3,200","6,100","16","--","42","--","17","--"
2002,"Sublette","6,200","800","1,500","*","--","0","--","0","--"
2002,"Sweetwater","37,300","4,900","10,000","138","--","50","--","18","--"
2002,"Teton","18,600","1,700","3,600","26","--","*","--","*","--"
2002,"Uinta","19,800","3,000","6,100","43","--","6","--","18","--"
2002,"Washakie","7,900","1,100","2,000","15","--","12","--","16","--"
2002,"Weston","6,600","800","1,500","9","--","*","--","*","--"
2002,
