Year,Reporting Counties,"2010 Population Estimates","2010 Population Estimates","2010 Population Estimates",Delinquency,Delinquency,Status,Status,Dependency,Dependency
Year,County Name,"Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition"
2010,"Albany","36,400","2,400","6,100","24","--","*","--","--","--"
2010,"Big Horn","11,700","1,400","3,000","10","--","5","--","--","--"
2010,"Campbell","46,200","5,400","13,000","93","--","32","--","--","--"
2010,"Carbon","15,800","1,600","3,700","21","--","9","--","--","--"
2010,"Converse","13,800","1,600","3,500","45","--","13","--","--","--"
2010,"Crook","7,100","700","1,700","11","--","*","--","--","--"
2010,"Fremont","40,200","4,200","10,300","39","--","6","--","--","--"
2010,"Goshen","13,400","1,300","2,700","27","--","12","--","--","--"
2010,"Hot Springs","4,800","400","1,000","9","--","*","--","--","--"
2010,"Johnson","8,600","800","1,900","6","--","7","--","--","--"
2010,"Laramie","92,200","9,500","22,400","133","--","26","--","--","--"
2010,"Lincoln","18,100","2,300","5,100","25","--","0","--","--","--"
2010,"Natrona","75,500","7,700","18,000","66","--","30","--","--","--"
2010,"Niobrara","2,500","200","500","*","--","0","--","--","--"
2010,"Park","28,300","2,700","5,900","46","--","*","--","--","--"
2010,"Platte","8,700","900","1,800","36","--","5","--","--","--"
2010,"Sheridan","29,100","2,900","6,500","18","--","18","--","--","--"
2010,"Sublette","10,200","1,000","2,400","14","--","5","--","--","--"
2010,"Sweetwater","43,600","4,800","11,800","90","--","21","--","--","--"
2010,"Teton","21,300","1,700","4,100","*","--","*","--","--","--"
2010,"Uinta","21,100","2,800","6,400","19","--","*","--","--","--"
2010,"Washakie","8,500","1,000","2,200","11","--","5","--","--","--"
2010,"Weston","7,200","700","1,600","8","--","*","--","--","--"
2010,
