"",Actual,,Cleared,,%Cleared,Stolen,,%Change
"",,,,,,,,
Murder,7,,6,,85.7%,$0,,75.0%
Rape,68,,16,,23.5%,$0,,30.8%
Robbery,18,,5,,27.8%,"$7,185",,0.0%
Aggravated Assault,218,,130,,59.6%,$0,,-7.2%
Total Violent Crimes,311,,157,,50.5%,"$7,185",,0.6%
Burglary,437,,42,,9.6%,"$533,763",,-8.4%
Larceny,"2,085",,369,,17.7%,"$3,208,135",,-5.7%
MV Theft,210,,56,,26.7%,"$1,412,511",,-15.3%
Total Property Crimes,"2,732",,467,,17.1%,"$5,154,409",,-6.9%
Grand Total,"3,043",,624,,20.5%,"$5,161,594",,-6.2%
Arson,16,,6,,37.5%,"$125,420",,23.1%
"",,,,,,,,3RD QT,,3RD QT,,
"",,,,AGG.,,,,,,,,%
"",MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2017,M,2016,M,
"",,,,ASSAULT,,,,TOTAL,,TOTAL,,Change *
ALBANY COUNTY,1,0,1,8,26,133,11,180,,142,,26.8%
Sheriff,1,,,3,3,8,1,16,3,12,3,33.3%
Laramie,,,1,5,21,108,10,145,3,106,3,36.8%
Univ of Wyoming,,,,,2,17,,19,3,24,3,-20.8%
BIG HORN COUNTY,0,2,0,7,0,7,1,17,,9,,88.9%
Sheriff,,1,,2,,6,,9,3,8,3,12.5%
Lovell,,1,,5,,1,1,8,0,0,0,100.0%
Greybull,,,,,,,,0,3,1,3,-100.0%
CAMPBELL COUNTY,1,10,2,27,20,149,11,220,,293,,-24.9%
Sheriff,1,8,1,22,5,28,7,72,3,68,3,5.9%
Gillette,,2,1,5,15,121,4,148,3,225,3,-34.2%
CARBON COUNTY,0,3,0,5,3,38,10,59,,88,,-33.0%
Sheriff,,2,,,,1,2,5,3,13,3,-61.5%
Rawlins,,1,,5,3,36,8,53,3,0,0,100.0%
Saratoga,,,,,,1,,1,3,9,3,-88.9%
Hanna,,,,,,,,0,3,0,0,0.0%
CONVERSE COUNTY,0,0,0,1,0,13,0,14,,64,,-78.1%
Sheriff,,,,,,,,0,0,0,0,0.0%
Douglas,,,,1,,7,,8,1,47,3,-83.0%
Glenrock,,,,,,6,,6,3,17,3,-64.7%
CROOK COUNTY,0,0,0,0,2,6,0,8,,17,,-52.9%
Sheriff,,,,,2,6,,8,3,12,3,-33.3%
Sundance,,,,,,,,0,3,3,3,-100.0%
Moorcroft,,,,,,,,0,3,2,3,-100.0%
FREMONT COUNTY,0,0,0,6,13,180,8,207,,278,,-25.5%
Sheriff,,,,,,,,0,0,38,0,-100.0%
Lander,,,,,,42,2,44,3,71,3,-38.0%
Riverton,,,,6,13,138,6,163,3,169,3,-3.6%
GOSHEN COUNTY,0,0,0,6,3,11,0,20,,38,,-47.4%
Sheriff,,,,,,,,0,0,15,3,-100.0%
Torrington,,,,6,3,11,,20,3,23,3,-13.0%
HOT SPRINGS COUNTY,0,0,0,4,7,16,3,30,,22,,36.4%
Sheriff,,,,,3,1,3,7,3,7,3,0.0%
