"",Actual,Cleared,%Cleared,Stolen,%Change
"",,,,,
Murder,4,4,100.0%,$0,33.3%
Rape,44,10,22.7%,$0,25.7%
Robbery,14,8,57.1%,"$6,307",0.0%
Aggravated Assault,220,164,74.5%,$0,-2.2%
Burglary,354,78,22.0%,"$733,126",-14.9%
Larceny,"1,934",469,24.3%,"$1,086,655",-6.2%
MV Theft,144,28,19.4%,"$1,031,810",-2.7%
Violent,282,186,66.0%,"$2,857,898",3.3%
Property,"2,432",575,23.6%,"$2,851,591",-7.4%
Total,"2,714",761,28.0%,"$5,709,489",-6.4%
Arson,4,0,0.0%,$550,0.0%
"",,,,,,,,th4  Qt,,,4th Qt,,
"",,,,AGG,,,,,,,,,%
"",MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2016,,M,2015,M,
"",,,,ASSLT,,,,Total,,,Total,,Change *
ALBANY COUNTY,0,4,0,12,21,124,7,168,,,212,,-20.8%
"",,,,,,,,,,,,,
Sheriff,,,,3,1,9,1,14,,3,14,3,0.0%
"",,,,,,,,,,,,,
Laramie,,4,,9,19,88,5,125,,3,159,3,-21.4%
"",,,,,,,,,,,,,
University of,,,,,,,,,,,,,
"",,,,,1,27,1,29,,3,39,3,-25.6%
Wyoming,,,,,,,,,,,,,
BIG HORN COUNTY,0,0,0,0,4,7,2,13,,,13,,0.0%
"",,,,,,,,,,,,,
Sheriff,,,,,2,4,2,8,,3,4,3,100.0%
"",,,,,,,,,,,,,
Lovell,,,,,,,,0,,0,0,0,0.0%
"",,,,,,,,,,,,,
Greybull,,,,,2,3,,5,,3,9,3,-44.4%
"",,,,,,,,,,,,,
CAMPBELL COUNTY,2,4,1,41,26,156,8,238,,,312,,-23.7%
"",,,,,,,,,,,,,
Sheriff,2,2,,30,6,19,1,60,,3,68,3,-11.8%
"",,,,,,,,,,,,,
Gillette,,2,1,11,20,137,7,178,,3,244,3,-27.0%
"",,,,,,,,,,,,,
CARBON COUNTY,0,1,1,5,6,81,4,98,,,7,,1300.0%
"",,,,,,,,,,,,,
Sheriff,,,,3,,3,,6,,3,6,3,0.0%
"",,,,,,,,,,,,,
Rawlins,,1,1,2,5,73,3,85,,3,0,3,100.0%
"",,,,,,,,,,,,,
Saratoga,,,,,,4,1,5,,3,1,3,400.0%
"",,,,,,,,,,,,,
Hanna,,,,,1,1,,2,,3,0,3,100.0%
