Index Crimes,Actual Offenses,Offenses Cleared,% Cleared,Stolen Property,% Change,Crime Index,2014 pop,2013 Offenses
Murder,12,9,75.00%,0,-20.00%,0.2,"584,153",15
Rape,161,54,33.50%,930,18.40%,2.8,"584,153",136
Robbery,53,18,34.00%,"61,782",-7.00%,0.9,"584,153",57
Agg. Assault,792,593,74.90%,0,-7.90%,13.6,"584,153",860
Burglary,"1,613",244,15.10%,"2,226,300",-14.90%,27.6,"584,153","1,895"
Larceny,"8,874","2,704",30.50%,"5,912,537",-11.20%,151.9,"584,153","9,995"
MVT,557,141,25.30%,"4,111,957",3.30%,9.5,"584,153",539
Violent Crimes,"1,018",674,66.20%,"$12,313,506 ",-4.70%,17.4,"584,153","13,497"
Property Crimes,"11,044","3,089",28.00%,"$12,250,794 ",-11.10%,189.1,"584,153","12,429"
Arson,31,11,35.50%,"1,984,697",-41.50%,0.5,"584,153",33
