Property Classification,Number of Offenses,Total Offenses Cleared,Uninhabited or Abandoned Structures,Estimated Value of Property Damaged
Single Occupancy Residence,6,3,1,"215,965"
Other Residence,3,1,0,"1,721,514"
Storage,0,0,0,0
"Industrial, Manufacturing",,,,
Other Commercial,0,0,0,0
Community/Public,7,3,3,"17,075"
All Other Structures,2,0,0,"16,160"
TOTAL STRUCTURES,18,7,4,"$1,970,714 "
Motor Vehicles,7,1,0,"8,899"
Other Mobile Property,0,0,0,0
TOTAL MOBILE,7,1,0,"$8,899 "
TOTAL OTHER,6,3,0,"$5,084 "
