ORINUM,Year,County,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
100,2017,Albany County Sheriff,0,0,0,1,0,1,2,0,21,0,0,0,0,2,0,0,0,8,8,0,0,0,0,0,0,4,0,0,0,0
101,2017,Laramie Police Department,0,0,1,0,2,18,0,0,15,0,1,0,4,9,1,0,3,9,9,0,0,0,16,0,3,13,0,0,0,0
102,2017,UW Police Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
10,2017,Albany,0,0,1,1,2,19,2,0,36,0,1,0,4,11,1,0,4,17,17,0,0,0,20,0,3,17,0,0,0,0
200,2017,Big Horn County Sheriff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2017,Greybull Police Department,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
20,2017,Big Horn,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
300,2017,Campbell County Sheriff,0,1,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,10,8,0,0,0,28,0,1,23,0,0,0,0
301,2017,Gillette Police Department,0,0,0,2,1,30,0,1,38,1,1,0,0,42,1,0,1,80,79,0,0,2,26,5,33,141,0,0,0,0
30,2017,Campbell,0,1,0,5,1,30,1,1,40,1,1,0,0,42,1,0,1,90,87,0,0,2,54,5,34,164,0,0,0,0
