Year,County,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
2017,Albany,0,0,1,1,2,19,2,0,36,0,1,0,4,11,1,0,4,17,17,0,0,0,20,0,3,17,0,0,0,0
2017,Big Horn,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
2017,Campbell,0,1,0,5,1,30,1,1,40,1,1,0,0,42,1,0,1,90,87,0,0,2,54,5,34,164,0,0,0,0
2017,Carbon,0,0,0,0,0,14,4,0,34,0,0,0,0,6,1,0,0,24,21,0,1,1,1,0,0,17,0,0,0,0
2017,Converse,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0
2017,Crook,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0
2017,Fremont,0,0,0,1,0,46,3,0,21,0,0,0,0,8,0,0,0,47,47,0,0,3,68,0,5,45,0,10,0,0
2017,Goshen,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,4,0,1,1,0,0,0,0
2017,Hot Springs,0,0,0,1,0,7,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,10,0,0,0,0
2017,Johnson,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,10,2,0,9,0,0,0,0
2017,Laramie,0,0,1,3,0,82,6,0,147,0,0,0,4,28,19,0,3,106,87,0,3,1,52,0,25,134,1,13,0,0
2017,Lincoln,0,2,0,0,2,1,2,4,2,0,0,0,0,3,0,0,1,2,1,0,0,2,1,0,0,0,0,2,0,0
2017,Natrona,0,0,1,1,8,88,6,0,79,0,0,5,0,21,4,0,1,120,117,0,0,4,79,3,0,149,0,37,0,0
2017,Niobrara,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Park,0,1,0,2,0,9,0,0,1,0,1,0,4,1,0,0,0,10,9,0,0,1,12,0,7,35,0,0,0,0
2017,Platte,0,0,0,0,5,0,0,0,4,0,0,0,0,3,0,0,0,1,1,0,0,1,2,1,0,2,0,0,0,0
2017,Sheridan,0,0,0,7,0,20,3,0,15,0,0,0,2,8,0,0,0,28,28,0,1,1,33,0,3,40,0,14,0,0
2017,Sublette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0
2017,Sweetwater,0,1,0,2,1,23,1,4,18,0,0,0,0,7,4,0,1,24,21,0,1,5,36,0,18,55,4,9,0,0
2017,Teton,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,4,0,0,0,0
2017,Uinta,0,0,0,1,0,15,5,0,7,0,0,0,0,1,0,0,0,4,2,0,0,1,6,4,4,36,0,5,0,0
2017,Washakie,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,6,0,0,0,0
2017,Weston,0,0,0,0,0,9,1,1,4,0,0,0,0,0,1,0,0,1,1,0,0,0,15,0,3,12,0,0,0,0
