Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Total Children in Care,19,21,27,30,33,36,38,41,
Total Family-like setting,4,3,5,6,6,7,6,6,
Relative foster home,0,0,1,1,1,1,1,1,
Non-relative foster home,3,3,4,5,5,6,5,5,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,15,18,22,24,27,29,32,35,
Group Home,0,0,0,0,0,0,0,0,
Residential Treatment,13,17,19,18,20,18,19,18,
Psychiatric RTC,1,1,1,2,2,3,4,8,
Boys School,0,0,0,0,1,3,4,6,
Girls School,0,0,1,2,2,2,2,2,
Detention,1,0,1,2,2,2,3,1,
Crisis Center,0,0,0,0,0,1,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2012","Feb 29, 2012","Mar 31, 2012","Apr 30, 2012","May 31, 2012","Jun 30, 2012","Jul 31, 2012","Aug 31, 2012",
Report Period,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,
Total Children in Care,43,46,55,60,57,56,60,62,
Total Family-like setting,6,5,7,6,7,8,11,9,
Relative foster home,1,0,0,0,0,1,0,0,
Non-relative foster home,5,5,7,6,7,7,10,8,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,1,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,37,41,48,54,50,48,49,53,
Group Home,0,0,0,0,1,0,1,1,
Residential Treatment,18,21,23,25,23,22,23,24,
Psychiatric RTC,8,10,12,11,11,11,7,6,
Boys School,6,6,6,7,9,7,7,7,
Girls School,2,2,2,2,1,1,3,5,
Detention,3,2,5,7,5,7,8,10,
Crisis Center,0,0,0,2,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2012","Oct 31, 2012","Nov 30, 2012","Dec 31, 2012","Jan 31, 2013","Feb 28, 2013","Mar 31, 2013","Apr 30, 2013",
Report Period,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,
Total Children in Care,70,76,80,70,61,60,59,56,
Total Family-like setting,10,10,10,9,5,7,7,5,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,8,9,7,8,5,6,7,5,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,2,1,3,1,0,1,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,59,66,70,61,56,53,52,51,
Group Home,1,1,1,1,1,1,0,0,
Residential Treatment,27,32,33,31,28,26,24,25,
Psychiatric RTC,5,6,8,7,7,8,6,6,
Boys School,13,13,15,12,14,11,12,10,
Girls School,5,5,5,4,4,2,2,1,
Detention,8,9,8,5,1,5,8,8,
Crisis Center,0,0,0,1,1,0,0,1,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,1,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2013","Jun 30, 2013","Jul 31, 2013","Aug 31, 2013","Sep 30, 2013","Oct 31, 2013","Nov 30, 2013","Dec 31, 2013",
Report Period,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,
Total Children in Care,56,61,64,65,58,55,53,50,
Total Family-like setting,7,6,8,10,10,8,5,5,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,6,5,6,8,9,7,5,4,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,1,1,0,1,0,1,
Supervised Independent Living,0,0,1,1,1,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,49,54,54,54,48,47,46,42,
Group Home,0,1,2,1,1,1,1,1,
Residential Treatment,22,24,21,22,23,19,18,17,
Psychiatric RTC,5,6,6,6,6,6,6,4,
Boys School,9,11,10,12,9,9,7,8,
Girls School,2,2,3,4,5,6,6,6,
Detention,9,9,11,8,3,6,8,5,
Crisis Center,1,0,0,0,0,0,0,1,
Hospital,1,1,1,1,1,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,1,2,1,0,0,2,3,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2014","Feb 28, 2014","Mar 31, 2014","Apr 30, 2014","May 31, 2014","Jun 30, 2014","Jul 31, 2014","Aug 31, 2014",
Report Period,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,
Total Children in Care,55,56,58,59,57,61,63,62,
Total Family-like setting,6,5,3,5,5,4,4,4,
Relative foster home,1,1,0,0,0,0,0,0,
Non-relative foster home,4,3,2,3,4,4,4,4,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,1,2,1,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,47,49,53,52,51,56,59,58,
Group Home,1,1,1,0,0,0,0,0,
Residential Treatment,17,21,22,23,18,23,24,27,
Psychiatric RTC,3,4,5,3,2,5,5,5,
Boys School,9,7,7,7,6,9,10,8,
Girls School,6,6,7,6,5,6,5,5,
Detention,11,9,11,13,19,10,13,11,
Crisis Center,0,1,0,0,1,3,2,2,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,2,2,2,2,1,1,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2014","Oct 31, 2014","Nov 30, 2014","Dec 31, 2014","Jan 31, 2015","Feb 28, 2015","Mar 31, 2015","Apr 30, 2015",
Report Period,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,
Total Children in Care,59,54,62,53,57,57,56,58,
Total Family-like setting,5,6,6,9,8,9,9,10,
Relative foster home,1,1,1,1,1,2,2,2,
Non-relative foster home,4,5,5,8,7,7,7,8,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,54,48,56,44,49,47,46,47,
Group Home,0,0,1,1,1,1,1,1,
Residential Treatment,25,21,21,21,21,19,16,17,
Psychiatric RTC,4,3,6,3,4,2,3,2,
Boys School,9,11,12,10,10,12,11,14,
Girls School,5,5,5,5,5,4,4,3,
Detention,11,8,11,4,8,9,11,10,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,1,1,1,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2015","Jun 30, 2015","Jul 31, 2015","Aug 31, 2015","Sep 30, 2015","Oct 31, 2015","Nov 30, 2015","Dec 31, 2015",
Report Period,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,
Total Children in Care,56,58,56,54,55,52,49,47,
Total Family-like setting,12,11,11,11,11,10,8,9,
Relative foster home,2,2,2,1,2,0,0,2,
Non-relative foster home,9,8,9,9,7,8,6,6,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,1,2,2,2,1,
Supervised Independent Living,1,1,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,43,47,43,42,44,41,41,38,
Group Home,1,2,1,1,1,1,1,1,
Residential Treatment,15,16,15,19,19,18,13,12,
