period,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,district,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Jan 2012,0,2,0,0,0,0,0,0,14,8,1,1,1,2,1,0,0,0,1,0,0,0,0,12,7,0,0,0
Feb 2012,0,2,0,0,0,0,0,0,14,8,1,1,1,2,1,0,0,0,1,0,0,0,0,12,7,0,0,0
Mar 2012,0,1,0,0,0,0,0,0,17,8,3,3,1,2,1,0,0,0,0,0,0,0,0,16,7,0,0,0
Apr 2012,0,1,0,0,0,0,0,0,17,8,2,3,1,2,1,0,0,0,0,0,0,0,0,16,7,0,1,0
May 2012,0,1,0,0,0,0,0,0,17,8,1,3,1,2,1,0,0,0,0,0,0,0,0,16,8,0,1,0
Jun 2012,0,1,0,0,0,0,0,0,19,8,0,2,3,2,1,0,0,0,0,0,0,0,0,18,10,0,1,0
Jul 2012,0,1,0,0,0,0,0,0,21,8,0,1,3,2,1,0,0,1,0,0,0,0,0,20,11,0,2,0
Aug 2012,0,2,0,0,0,0,0,0,22,8,0,2,2,2,1,0,0,0,0,0,0,1,0,20,12,0,2,0
Sep 2012,0,3,0,0,0,0,0,1,23,8,0,2,2,2,1,0,0,0,0,0,0,1,0,20,12,0,2,0
Oct 2012,0,3,0,0,0,0,0,2,27,8,0,3,4,1,1,0,0,0,0,0,0,0,0,24,12,0,4,0
Nov 2012,0,3,0,0,0,0,0,2,29,8,0,3,6,1,1,0,0,0,0,0,0,0,0,26,12,0,4,0
Dec 2012,0,4,0,0,0,0,0,3,30,8,1,3,6,1,1,0,0,0,0,0,0,0,0,26,10,0,5,0
Jan 2013,0,7,0,0,0,0,0,2,33,8,1,4,5,1,1,0,0,0,1,0,0,3,0,26,9,0,6,0
Feb 2013,0,6,0,0,0,0,0,1,32,8,0,3,7,1,1,0,0,0,1,0,0,3,0,26,9,0,6,0
Mar 2013,0,5,0,0,0,0,0,1,33,8,1,2,9,1,1,0,0,1,1,0,0,2,0,28,8,0,6,0
Apr 2013,0,8,0,0,0,0,0,3,33,8,0,2,8,1,2,0,0,1,1,0,0,2,0,25,8,0,5,0
May 2013,0,10,0,0,0,0,0,4,33,8,0,1,6,1,2,0,0,1,1,0,0,3,0,23,9,0,5,0
Jun 2013,0,6,0,0,0,0,0,1,31,8,1,2,7,1,2,0,0,1,0,0,0,3,0,25,8,0,5,0
Jul 2013,0,8,0,0,0,0,0,3,36,8,0,4,10,1,3,0,0,1,0,0,0,2,0,28,8,0,4,0
Aug 2013,0,8,0,0,0,0,0,2,31,8,1,4,8,0,3,0,0,0,0,0,0,2,1,23,6,0,4,0
