Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Total Children in Care,8,10,12,12,19,25,31,37,
Total Family-like setting,0,0,0,0,0,0,0,0,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,8,10,12,12,19,25,31,37,
Group Home,0,0,0,0,0,3,3,2,
Residential Treatment,5,5,6,6,9,11,15,21,
Psychiatric RTC,0,1,1,1,1,1,1,2,
Boys School,0,0,0,0,1,2,2,3,
Girls School,2,4,5,5,5,6,6,8,
Detention,0,0,0,0,0,0,0,0,
Crisis Center,0,0,0,0,3,2,4,1,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,1,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2012","Feb 29, 2012","Mar 31, 2012","Apr 30, 2012","May 31, 2012","Jun 30, 2012","Jul 31, 2012","Aug 31, 2012",
Report Period,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,
Total Children in Care,40,41,46,53,46,48,45,54,
Total Family-like setting,0,0,0,0,0,0,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,40,41,45,52,45,48,44,53,
Group Home,2,1,1,1,1,1,1,4,
Residential Treatment,23,25,28,32,28,28,27,30,
Psychiatric RTC,2,3,3,7,6,7,7,7,
Boys School,3,4,4,4,5,5,4,5,
Girls School,8,8,6,6,2,2,3,4,
Detention,0,0,0,0,0,0,0,0,
Crisis Center,1,0,1,2,3,4,1,2,
