county,murder_total,murder_adult_male,murder_adult_female,murder_juvenile_male,murder_juvenile_female,forcible_rape_total,forcible_rape_adult_male,forcible_rape_adult_female,forcible_rape_juvenile_male,forcible_rape_juvenile_female,robbery_total,robbery_adult_male,robbery_adult_female,robbery_juvenile_male,robbery_juvenile_female,aggravated_assault_total,aggravated_assault_adult_male,aggravated_assault_adult_female,aggravated_assault_juvenile_male,aggravated_assault_juvenile_female,burglary_total,burglary_adult_male,burglary_adult_female,burglary_juvenile_male,burglary_juvenile_female,larceny_theft_total,larceny_theft_adult_male,larceny_theft_adult_female,larceny_theft_juvenile_male,larceny_theft_juvenile_female,mvt_total,mvt_adult_male,mvt_adult_female,mvt_juvenile_male,mvt_juvenile_female,total_total,total_adult_male,total_adult_female,total_juvenile_male,total_juvenile_female
Albany County Totals,0,0,0,0,0,12,0,0,0,0,2,3,0,0,0,33,18,2,0,0,65,3,0,0,0,463,47,22,3,4,20,104,24,3,4,0,0,0,0,0
Albany County Sheriffs Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,5,0,0,0,0,29,3,1,0,0,2,10,1,0,0,0,0,0,0,0
LARAMIE POLICE DEPARTMENT,0,1,0,0,0,12,0,0,0,0,2,3,0,0,0,24,11,2,0,0,57,3,0,0,0,336,37,21,3,4,17,61,23,3,4,0,0,0,0,0
UNIVERSITY OF WYOMING POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,98,7,0,0,0,1,7,0,0,0,0,0,0,0,0
BIG HORN COUNTY TOTALS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,11,2,1,0,0,24,2,0,0,0,3,7,1,0,0,0,0,0,0,0
BIG HORN COUNTY SHERIFFS OFFICE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,15,2,0,0,0,2,4,1,0,0,0,0,0,0,0
GREYBULL POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,0,0,9,0,0,0,0,1,3,0,0,0,0,0,0,0,0
CAMPBELL COUNTY TOTALS,4,4,0,0,0,8,1,0,0,0,7,2,0,0,0,169,36,8,3,0,132,16,4,3,1,653,88,53,37,10,44,157,67,45,11,0,0,0,0,0
CAMPBELL COUNTY SHERIFFS OFFICE,2,2,0,0,0,5,1,0,0,0,0,1,0,0,0,119,10,4,2,0,33,10,2,1,1,82,10,2,2,0,6,37,10,7,1,0,0,0,0,0
GILLETTE POLICE DEPARTMENT,2,2,0,0,0,3,0,0,0,0,7,1,0,0,0,50,26,4,1,0,99,6,2,2,0,571,78,51,35,10,38,120,57,38,10,0,0,0,0,0
CARBON COUNTY TOTALS,0,0,0,0,0,7,1,0,1,0,1,0,0,0,0,17,12,1,1,0,49,4,1,0,0,257,46,34,7,5,22,69,36,11,10,0,0,0,0,0
CARBON COUNTY SHERIFFS OFFICE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4,1,0,0,6,1,0,0,0,17,4,0,0,0,2,10,1,1,0,0,0,0,0,0
