county,murder_total,murder_adult_male,murder_adult_female,murder_juvenile_male,murder_juvenile_female,forcible_rape_total,forcible_rape_adult_male,forcible_rape_adult_female,forcible_rape_juvenile_male,forcible_rape_juvenile_female,robbery_total,robbery_adult_male,robbery_adult_female,robbery_juvenile_male,robbery_juvenile_female,aggravated_assault_total,aggravated_assault_adult_male,aggravated_assault_adult_female,aggravated_assault_juvenile_male,aggravated_assault_juvenile_female,burglary_total,burglary_adult_male,burglary_adult_female,burglary_juvenile_male,burglary_juvenile_female,larceny_theft_total,larceny_theft_adult_male,larceny_theft_adult_female,larceny_theft_juvenile_male,larceny_theft_juvenile_female,mvt_total,mvt_adult_male,mvt_adult_female,mvt_juvenile_male,mvt_juvenile_female,total_total,total_adult_male,total_adult_female,total_juvenile_male,total_juvenile_female
ALBANY COUNTY TOTALS,1,0,1,0,0,11,2,0,0,0,6,1,1,1,0,39,6,3,0,1,88,4,0,5,0,786,88,74,22,8,31,109,79,28,9,0,0,0,0,0
ALBANY COUNTY SHERIFF’S OFFICE,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,7,0,1,0,0,9,0,0,0,0,35,2,1,2,0,4,3,2,2,0,0,0,0,0,0
LARAMIE POLICE DEPARTMENT,1,2,0,0,0,10,2,0,0,0,5,1,1,1,0,32,6,2,0,1,60,4,0,5,0,622,81,70,20,8,23,96,73,26,9,0,0,0,0,0
UNIVERSITY OF WYOMING POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,129,5,3,0,0,4,5,3,0,0,0,0,0,0,0
BIG HORN COUNTY TOTALS,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,4,1,0,0,28,7,0,2,0,31,0,0,0,0,2,11,1,2,0,0,0,0,0,0
BIG HORN COUNTY SHERIFF’S OFFICE,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,15,0,0,0,0,1,7,0,0,0,0,0,0,0,0
GREYBULL POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,10,0,0,2,0,6,0,0,0,0,0,4,1,2,0,0,0,0,0,0
LOVELL POLICE DEPARTMENT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAMPBELL COUNTY TOTALS,0,0,0,0,0,13,1,0,1,0,1,0,0,2,3,70,35,6,5,1,150,19,2,6,4,993,174,168,31,26,56,238,177,47,34,0,0,0,0,0
CAMPBELL COUNTY SHERIFF’S OFFICE,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,26,11,3,3,0,50,11,0,2,2,163,20,1,3,2,29,50,5,10,4,0,0,0,0,0
GILLETTE POLICE DEPARTMENT,0,0,0,0,0,6,0,0,0,0,1,0,0,2,3,44,24,3,2,1,100,8,2,4,2,830,154,167,28,24,27,188,172,37,30,0,0,0,0,0
CARBON COUNTY TOTALS,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,39,21,3,2,0,21,0,0,5,1,190,37,17,11,6,22,64,22,22,7,0,0,0,0,0
CARBON COUNTY SHERIFF’S OFFICE,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,12,4,0,0,0,4,0,0,0,0,18,4,0,0,0,0,11,1,0,0,0,0,0,0,0
HANNA MARSHAL’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RAWLINS POLICE DEPARTMENT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,14,3,1,0,15,0,0,5,1,166,32,16,11,6,18,46,19,20,7,0,0,0,0,0
SARATOGA POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,1,1,0,0,4,6,2,2,0,0,0,0,0,0
