"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2009 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","34,000","2,100","5,600","33","--","0","--","--","--","--"
"Big Horn","11,600","1,400","3,000","7","--","*","--","--","--","--"
"Campbell","44,000","5,100","12,300","80","--","35","--","--","--","--"
"Carbon","15,700","1,600","3,800","18","--","22","--","--","--","--"
"Converse","13,600","1,500","3,400","43","--","16","--","--","--","--"
"Crook","6,700","700","1,500","13","--","0","--","--","--","--"
"Fremont","38,700","4,200","10,000","23","--","7","--","--","--","--"
"Goshen","12,300","1,300","2,700","16","--","13","--","--","--","--"
"Hot Springs","4,600","400","900","9","--","*","--","--","--","--"
"Johnson","8,500","900","1,900","10","--","*","--","--","--","--"
"Laramie","88,900","9,000","21,600","122","--","35","--","--","--","--"
"Lincoln","17,000","2,100","4,900","18","--","*","--","--","--","--"
"Natrona","74,500","7,800","18,200","75","--","40","--","--","--","--"
"Niobrara","2,400","200","500","*","--","0","--","--","--","--"
"Park","28,000","2,700","5,900","43","--","9","--","--","--","--"
"Platte","8,200","900","1,800","15","--","5","--","--","--","--"
"Sheridan","29,200","2,900","6,500","27","--","23","--","--","--","--"
"Sublette","8,800","1,000","2,300","14","--","10","--","--","--","--"
"Sweetwater","41,200","4,600","11,500","95","--","36","--","--","--","--"
"Teton","20,700","1,400","3,900","14","--","*","--","--","--","--"
"Uinta","20,900","2,800","6,400","41","--","7","--","--","--","--"
"Washakie","7,900","1,000","2,000","10","--","*","--","--","--","--"
"Weston","7,000","700","1,500","9","--","0","--","--","--","--"

"Number of Reported Cases",,,,"738","--","269","--","--","--","--"
"Population Represented","544,300","56,100","132,000","56,100","--","56,100","--","--","--","--"
"Rates for Reporting Counties",,,,"13.15","--","4.79","--","--","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","--","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Wyoming District Court"
"1. Delinquency figures are cases petitioned for fiscal year 2009."
"2. Status figures are cases petitioned for fiscal year 2009."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2018)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
