"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"1997 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","29,700","2,700","5,800","45","--","10","--","17","--","--"
"Big Horn","11,000","1,600","3,000","45","--","*","--","*","--","--"
"Campbell","32,100","5,400","10,800","65","--","11","--","10","--","--"
"Carbon","15,800","2,300","4,300","36","--","9","--","12","--","--"
"Converse","12,300","2,000","3,700","25","--","*","--","0","--","--"
"Crook","5,800","900","1,700","18","--","*","--","8","--","--"
"Fremont","35,900","5,200","10,500","75","--","8","--","14","--","--"
"Goshen","12,800","1,700","3,300","25","--","6","--","6","--","--"
"Hot Springs","4,700","600","1,100","15","--","*","--","*","--","--"
"Johnson","6,800","900","1,600","0","--","5","--","0","--","--"
"Laramie","78,500","9,500","19,800","180","--","38","--","41","--","--"
"Lincoln","13,900","2,500","4,900","35","--","7","--","*","--","--"
"Natrona","63,600","8,400","16,900","303","--","26","--","46","--","--"
"Niobrara","2,600","300","600","7","--","0","--","0","--","--"
"Park","25,700","3,300","6,500","89","--","*","--","25","--","--"
"Platte","8,500","1,200","2,200","32","--","*","--","5","--","--"
"Sheridan","25,200","3,300","6,100","33","--","17","--","11","--","--"
"Sublette","5,700","700","1,400","6","--","*","--","0","--","--"
"Sweetwater","39,700","6,500","12,500","125","--","52","--","31","--","--"
"Teton","13,900","1,400","3,100","20","--","*","--","6","--","--"
"Uinta","20,300","3,800","7,600","42","--","6","--","13","--","--"
"Washakie","8,600","1,300","2,400","0","--","0","--","0","--","--"
"Weston","6,500","900","1,700","13","--","*","--","0","--","--"

"Number of Reported Cases",,,,"1,234","--","216","--","252","--","--"
"Population Represented","479,700","66,300","131,600","66,300","--","66,300","--","131,600","--","--"
"Rates for Reporting Counties",,,,"18.60","--","3.26","--","1.92","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Wyoming Court Services"
"1. Delinquency figures are petitions filed."
"2. Status figures are petitions filed."
"3. Dependency figures are petitions filed."

"Suggested citation:Stahl, A., McGlynn, E., and Wan, Y. (2000)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
