"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2012 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","37,400","2,400","6,200","25","--","5","--","10","--","--"
"Big Horn","11,800","1,400","3,000","27","--","6","--","12","--","--"
"Campbell","47,900","5,500","13,400","126","--","33","--","79","--","--"
"Carbon","15,700","1,600","3,600","11","--","7","--","12","--","--"
"Converse","14,000","1,600","3,500","32","--","*","--","18","--","--"
"Crook","7,100","700","1,700","5","--","*","--","5","--","--"
"Fremont","41,100","4,300","10,400","24","--","*","--","12","--","--"
"Goshen","13,700","1,300","2,700","36","--","12","--","5","--","--"
"Hot Springs","4,800","500","1,000","6","--","*","--","11","--","--"
"Johnson","8,600","800","1,900","6","--","*","--","8","--","--"
"Laramie","94,800","9,500","22,400","76","--","18","--","36","--","--"
"Lincoln","17,900","2,200","4,900","13","--","0","--","6","--","--"
"Natrona","78,700","7,900","18,700","60","--","25","--","62","--","--"
"Niobrara","2,500","200","400","0","--","0","--","*","--","--"
"Park","28,800","2,700","6,000","41","--","10","--","25","--","--"
"Platte","8,700","800","1,700","24","--","*","--","7","--","--"
"Sheridan","29,600","2,900","6,400","20","--","20","--","22","--","--"
"Sublette","10,400","1,100","2,500","15","--","*","--","0","--","--"
"Sweetwater","45,100","5,100","12,100","72","--","32","--","64","--","--"
"Teton","21,700","1,700","4,200","19","--","*","--","*","--","--"
"Uinta","21,000","2,800","6,200","25","--","0","--","6","--","--"
"Washakie","8,400","1,000","2,100","25","--","0","--","16","--","--"
"Weston","7,100","700","1,500","5","--","0","--","*","--","--"

"Number of Reported Cases",,,,"693","--","192","--","423","--","--"
"Population Represented","576,900","58,500","136,600","58,500","--","58,500","--","136,600","--","--"
"Rates for Reporting Counties",,,,"11.85","--","3.28","--","3.10","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Wyoming District Court"
"1. Delinquency figures are cases petitioned for fiscal year 2012."
"2. Status figures are cases petitioned for fiscal year 2012."
"3. Dependency figures are abuse and/or neglect petitions and Department of Family Services termination of parental rights petitions for fiscal year 2012."

"Suggested citation:Hockenberry, S., Smith, J., and Kang, W. (2018)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
