"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2000 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","31,800","2,600","5,700","20","--","9","--","12","--","--"
"Big Horn","11,400","1,600","3,200","20","--","*","--","6","--","--"
"Campbell","34,000","5,200","10,300","47","--","7","--","21","--","--"
"Carbon","15,600","1,900","3,600","33","--","8","--","19","--","--"
"Converse","12,100","1,700","3,400","28","--","5","--","5","--","--"
"Crook","5,900","900","1,500","5","--","*","--","*","--","--"
"Fremont","35,800","4,800","9,500","28","--","*","--","12","--","--"
"Goshen","12,600","1,500","3,000","16","--","*","--","11","--","--"
"Hot Springs","4,900","600","1,000","13","--","*","--","0","--","--"
"Johnson","7,100","900","1,700","10","--","*","--","*","--","--"
"Laramie","81,700","9,600","20,900","148","--","53","--","44","--","--"
"Lincoln","14,600","2,300","4,400","24","--","7","--","5","--","--"
"Natrona","66,600","8,200","17,000","115","--","17","--","47","--","--"
"Niobrara","2,400","300","500","*","--","*","--","0","--","--"
"Park","25,800","3,200","6,200","88","--","6","--","27","--","--"
"Platte","8,800","1,200","2,200","25","--","*","--","6","--","--"
"Sheridan","26,600","3,300","6,300","39","--","34","--","18","--","--"
"Sublette","6,000","800","1,500","5","--","0","--","*","--","--"
"Sweetwater","37,500","5,300","10,600","167","--","44","--","23","--","--"
"Teton","18,400","1,700","3,600","20","--","*","--","12","--","--"
"Uinta","19,700","3,300","6,400","95","--","6","--","11","--","--"
"Washakie","8,300","1,200","2,200","38","--","*","--","*","--","--"
"Weston","6,600","900","1,600","7","--","*","--","0","--","--"

"Number of Reported Cases",,,,"993","--","221","--","285","--","--"
"Population Represented","494,100","62,700","126,200","62,700","--","62,700","--","126,200","--","--"
"Rates for Reporting Counties",,,,"15.85","--","3.53","--","2.26","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Wyoming Court Services"
"1. Delinquency figures are petitions filed."
"2. Status figures are petitions filed."
"3. Dependency figures are petitions filed."

"Suggested citation:Stahl, A. Kang, W., and Wilt, D. (2003)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
