"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"1998 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","29,300","2,600","5,500","43","--","15","--","12","--","--"
"Big Horn","11,300","1,700","3,100","40","--","*","--","6","--","--"
"Campbell","32,400","5,300","10,700","79","--","10","--","9","--","--"
"Carbon","15,500","2,200","4,100","20","--","15","--","22","--","--"
"Converse","12,300","1,900","3,700","--","--","--","--","--","--","--"
"Crook","5,800","800","1,700","12","--","0","--","*","--","--"
"Fremont","36,100","5,200","10,300","49","--","0","--","17","--","--"
"Goshen","12,800","1,700","3,200","37","--","24","--","14","--","--"
"Hot Springs","4,600","600","1,100","12","--","8","--","*","--","--"
"Johnson","6,800","900","1,600","11","--","0","--","0","--","--"
"Laramie","78,600","9,400","19,600","141","--","43","--","29","--","--"
"Lincoln","13,800","2,500","4,800","30","--","*","--","*","--","--"
"Natrona","63,200","8,000","16,300","240","--","5","--","48","--","--"
"Niobrara","2,700","300","600","6","--","*","--","*","--","--"
"Park","25,800","3,200","6,500","92","--","12","--","38","--","--"
"Platte","8,600","1,200","2,200","13","--","*","--","5","--","--"
"Sheridan","25,200","3,300","6,000","49","--","*","--","13","--","--"
"Sublette","5,700","700","1,400","*","--","0","--","*","--","--"
"Sweetwater","39,700","6,400","12,400","164","--","40","--","21","--","--"
"Teton","14,200","1,400","3,100","28","--","*","--","12","--","--"
"Uinta","20,400","3,800","7,600","49","--","*","--","13","--","--"
"Washakie","8,700","1,300","2,400","--","--","--","--","--","--","--"
"Weston","6,500","900","1,700","16","--","*","--","*","--","--"

"Number of Reported Cases",,,,"1,134","--","193","--","275","--","--"
"Population Represented","480,000","65,200","129,400","62,000","--","62,000","--","123,400","--","--"
"Rates for Reporting Counties",,,,"18.29","--","3.11","--","2.23","--","--"
"Number of Reporting Counties",,,,"21","--","21","--","21","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Wyoming Court Services"
"1. Delinquency figures are petitions filed."
"2. Status figures are petitions filed."
"3. Dependency figures are petitions filed."

"Suggested citation:Stahl, A. and Wan, Y. (2001)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
