"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2002 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","31,600","2,400","5,600","32","--","11","--","15","--","--"
"Big Horn","11,200","1,500","3,000","32","--","0","--","12","--","--"
"Campbell","36,200","5,200","10,400","74","--","11","--","15","--","--"
"Carbon","15,400","1,700","3,500","17","--","7","--","8","--","--"
"Converse","12,400","1,700","3,200","37","--","*","--","16","--","--"
"Crook","5,900","800","1,400","12","--","*","--","*","--","--"
"Fremont","36,000","4,600","9,400","73","--","*","--","18","--","--"
"Goshen","12,300","1,500","2,800","16","--","8","--","10","--","--"
"Hot Springs","4,700","500","1,000","9","--","*","--","9","--","--"
"Johnson","7,400","900","1,600","*","--","*","--","*","--","--"
"Laramie","83,200","9,700","20,900","117","--","46","--","57","--","--"
"Lincoln","14,900","2,200","4,200","29","--","7","--","*","--","--"
"Natrona","67,500","8,100","16,900","73","--","18","--","41","--","--"
"Niobrara","2,300","300","500","*","--","0","--","*","--","--"
"Park","26,000","3,100","5,900","73","--","13","--","23","--","--"
"Platte","8,800","1,100","2,000","6","--","5","--","13","--","--"
"Sheridan","27,000","3,200","6,100","16","--","42","--","17","--","--"
"Sublette","6,200","800","1,500","*","--","0","--","0","--","--"
"Sweetwater","37,300","4,900","10,000","138","--","50","--","18","--","--"
"Teton","18,600","1,700","3,600","26","--","*","--","*","--","--"
"Uinta","19,800","3,000","6,100","43","--","6","--","18","--","--"
"Washakie","7,900","1,100","2,000","15","--","12","--","16","--","--"
"Weston","6,600","800","1,500","9","--","*","--","*","--","--"

"Number of Reported Cases",,,,"854","--","252","--","323","--","--"
"Population Represented","499,200","60,600","123,200","60,600","--","60,600","--","123,200","--","--"
"Rates for Reporting Counties",,,,"14.08","--","4.16","--","2.62","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Wyoming Court Services"
"1. Delinquency figures are petitions filed."
"2. Status figures are petitions filed."
"3. Dependency figures are petitions filed."

"Suggested citation:Stahl, A. and Kang, W. (2005)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
