"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"2001 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","31,800","2,500","5,700","27","--","7","--","15","--","--"
"Big Horn","11,300","1,600","3,100","22","--","0","--","8","--","--"
"Campbell","34,700","5,200","10,300","40","--","8","--","15","--","--"
"Carbon","15,300","1,800","3,500","14","--","7","--","13","--","--"
"Converse","12,100","1,700","3,200","24","--","*","--","12","--","--"
"Crook","5,800","800","1,400","8","--","0","--","*","--","--"
"Fremont","35,800","4,700","9,500","39","--","0","--","25","--","--"
"Goshen","12,500","1,500","2,900","10","--","7","--","11","--","--"
"Hot Springs","4,800","600","1,000","7","--","*","--","*","--","--"
"Johnson","7,200","800","1,600","17","--","*","--","*","--","--"
"Laramie","82,400","9,700","20,900","199","--","37","--","35","--","--"
"Lincoln","14,700","2,200","4,300","18","--","9","--","6","--","--"
"Natrona","66,900","8,100","16,900","82","--","16","--","45","--","--"
"Niobrara","2,300","300","500","*","--","*","--","*","--","--"
"Park","25,800","3,100","6,000","74","--","5","--","29","--","--"
"Platte","8,800","1,100","2,100","24","--","7","--","10","--","--"
"Sheridan","26,700","3,200","6,200","30","--","40","--","26","--","--"
"Sublette","5,900","800","1,400","6","--","0","--","0","--","--"
"Sweetwater","36,800","5,000","10,100","162","--","31","--","17","--","--"
"Teton","18,500","1,700","3,600","23","--","*","--","6","--","--"
"Uinta","19,500","3,200","6,300","33","--","5","--","9","--","--"
"Washakie","8,100","1,100","2,100","33","--","9","--","*","--","--"
"Weston","6,500","800","1,500","9","--","*","--","0","--","--"

"Number of Reported Cases",,,,"902","--","202","--","296","--","--"
"Population Represented","494,100","61,500","124,200","61,500","--","61,500","--","124,200","--","--"
"Rates for Reporting Counties",,,,"14.66","--","3.28","--","2.38","--","--"
"Number of Reporting Counties",,,,"23","--","23","--","23","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Wyoming Court Services"
"1. Delinquency figures are petitions filed."
"2. Status figures are petitions filed."
"3. Dependency figures are petitions filed."

"Suggested citation:Stahl, A. and Kang, W. (2005)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
