"Easy Access to State and County Juvenile Court Case Counts"

"Counties in state: 23"

,"1999 Population Estimates",,,"Delinquency",,"Status",,"Dependency",,
"Reporting Counties","Total","10 Through Upper Age","0 Through Upper Age","Petition","Non-petition","Petition","Non-petition","Petition","Non-petition","All Reported Cases"
"Albany","29,100","2,500","5,400","24","--","11","--","6","--","--"
"Big Horn","11,200","1,600","3,000","28","--","0","--","7","--","--"
"Campbell","32,700","5,300","10,600","48","--","8","--","20","--","--"
"Carbon","15,400","2,100","4,000","36","--","5","--","17","--","--"
"Converse","12,400","1,900","3,600","23","--","7","--","12","--","--"
"Crook","5,800","800","1,600","11","--","0","--","*","--","--"
"Fremont","36,200","5,100","10,200","41","--","0","--","24","--","--"
"Goshen","12,700","1,600","3,100","15","--","8","--","9","--","--"
"Hot Springs","4,500","600","1,000","8","--","0","--","*","--","--"
"Johnson","6,900","900","1,600","*","--","*","--","*","--","--"
"Laramie","78,900","9,200","19,300","172","--","63","--","45","--","--"
"Lincoln","14,000","2,500","4,700","26","--","7","--","7","--","--"
"Natrona","63,200","7,800","15,900","0","--","0","--","0","--","--"
"Niobrara","2,700","300","600","0","--","6","--","0","--","--"
"Park","25,500","3,100","6,200","97","--","5","--","21","--","--"
"Platte","8,600","1,100","2,200","11","--","7","--","*","--","--"
"Sheridan","25,100","3,200","5,900","32","--","24","--","8","--","--"
"Sublette","5,800","700","1,400","6","--","*","--","*","--","--"
"Sweetwater","39,300","6,200","12,100","126","--","166","--","27","--","--"
"Teton","14,500","1,400","3,100","20","--","*","--","10","--","--"
"Uinta","20,300","3,700","7,400","64","--","5","--","10","--","--"
"Washakie","8,500","1,200","2,300","--","--","--","--","--","--","--"
"Weston","6,400","900","1,600","11","--","0","--","*","--","--"

"Number of Reported Cases",,,,"801","--","327","--","235","--","--"
"Population Represented","479,600","63,600","126,800","62,400","--","62,400","--","124,500","--","--"
"Rates for Reporting Counties",,,,"12.84","--","5.24","--","1.89","--","--"
"Number of Reporting Counties",,,,"22","--","22","--","22","--","--"

"*Denotes case counts greater than zero and less than five."

"--","Data are either not available or are not reliable for publication."
"Source: Supreme Court of Wyoming Court Services"
"1. Delinquency figures are petitions filed."
"2. Status figures are petitions filed."
"3. Dependency figures are petitions filed."

"Suggested citation:Stahl, A. Kang, W., and Wan, Y. (2002)."
"Easy Access to State and County Juvenile Court Case Counts, 2015. Online. Available: http://www.ojjdp.gov/ojstatbb/ezaco/."
