"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","3,439",100.0,"221,479",100.0
"Less than $10,000",183,5.3,"11,279",5.1
"$10,000 to $14,999",285,8.3,"10,717",4.8
"$15,000 to $24,999",375,10.9,"21,127",9.5
"$25,000 to $34,999",460,13.4,"22,992",10.4
"$35,000 to $49,999",592,17.2,"31,395",14.2
"$50,000 to $74,999",578,16.8,"44,135",19.9
"$75,000 to $99,999",472,13.7,"31,949",14.4
"$100,000 to $149,999",318,9.2,"32,413",14.6
"$150,000 to $199,999",85,2.5,"9,172",4.1
"$200,000 or more",91,2.6,"6,300",2.8
Median household income (dollars),"$44,519",(X),"$56,573",(X)
Mean household income (dollars),"$62,462",(X),"$70,836",(X)

With earnings,"2,704",78.6,"184,013",83.1
Mean earnings (dollars),"$60,002",(X),"$69,147",(X)
With Social Security,"1,168",34.0,"58,632",26.5
Mean Social Security income (dollars),"$16,068",(X),"$16,806",(X)
With retirement income,589,17.1,"35,970",16.2
Mean retirement income (dollars),"$20,747",(X),"$21,386",(X)

With Supplemental Security Income,109,3.2,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$8,439",(X),"$8,539",(X)
With cash public assistance income,55,1.6,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,791",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,271,7.9,"12,666",5.7

