"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","78,621",100.0,"576,412",100.0
White Alone,"74,073",94.2,"536,450",93.1
Black or African American Alone,"1,252",1.6,"8,555",1.5
American Indian and Alaska Native Alone,"1,028",1.3,"15,003",2.6
Asian Alone,619,0.8,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",71,0.1,575,0.1
Two or More Races,"1,578",2.0,"10,646",1.8

"Hispanic
  (may be of any race)","5,978",7.6,"54,770",9.5
Non-Hispanic,"72,643",92.4,"521,642",90.5
White Alone,"68,888",87.6,"487,822",84.6

