"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","2,456",100.0,"576,412",100.0
White Alone,"2,362",96.2,"536,450",93.1
Black or African American Alone,20,0.8,"8,555",1.5
American Indian and Alaska Native Alone,25,1.0,"15,003",2.6
Asian Alone,10,0.4,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",0,0.0,575,0.1
Two or More Races,39,1.6,"10,646",1.8

"Hispanic
  (may be of any race)",53,2.2,"54,770",9.5
Non-Hispanic,"2,403",97.8,"521,642",90.5
White Alone,"2,314",94.2,"487,822",84.6

