"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","8,490",100.0,"155,659",100.0
"Less than $50,000",771,9.1,"16,506",10.6
"$50,000 to $99,999",571,6.7,"14,553",9.3
"$100,000 to $149,999","1,141",13.4,"23,529",15.1
"$150,000 to $199,999","1,630",19.2,"32,655",21.0
"$200,000 to $299,999","2,088",24.6,"38,465",24.7
"$300,000 to $499,999","1,581",18.6,"20,225",13.0
"$500,000 to $999,999",467,5.5,"6,826",4.4
"$1,000,000 or more",241,2.8,"2,900",1.9
Median (dollars),"$206,000",(X),"$184,400",(X)

