"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","94,483",100.0,"576,412",100.0
White Alone,"86,466",91.5,"536,450",93.1
Black or African American Alone,"3,086",3.3,"8,555",1.5
American Indian and Alaska Native Alone,"1,230",1.3,"15,003",2.6
Asian Alone,"1,175",1.2,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",175,0.2,575,0.1
Two or More Races,"2,351",2.5,"10,646",1.8

"Hispanic
  (may be of any race)","13,272",14.0,"54,770",9.5
Non-Hispanic,"81,211",86.0,"521,642",90.5
White Alone,"74,727",79.1,"487,822",84.6

