"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$149,556,375",100.0,"$12,419,640,108",100.0
Private,"$114,421,333",76.5,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$2,971,932",2.0,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$14,945,029",10.0,"$2,292,161,480",18.5
Utilities,"$3,043,636",2.0,"$201,510,613",1.6
Construction,"$12,345,952",8.3,"$1,060,383,641",8.5
Manufacturing,"$18,971,653",12.7,"$522,831,750",4.2
Wholesale Trade,"$3,561,478",2.4,"$527,492,048",4.2
Retail Trade,"$9,465,419",6.3,"$796,995,012",6.4
Transportation & Warehousing,"$6,900,055",4.6,"$452,562,477",3.6
Information,"$3,112,646",2.1,"$162,296,930",1.3
Financial Activities,"$6,540,092",4.4,"$528,141,060",4.3
Professional & Business Services,"$6,973,980",4.7,"$875,522,196",7.0
Educational & Health Services,"$19,403,010",13.0,"$1,017,875,287",8.2
Leisure & Hospitality,"$4,134,557",2.8,"$589,074,501",4.7
Other Services,"$2,051,894",1.4,"$297,966,586",2.4
Government,"$35,135,042",23.5,"$3,017,505,559",24.3
Federal Government,"$7,314,579",4.9,"$444,713,124",3.6
State Government,"$8,647,742",5.8,"$693,482,477",5.6
Local Government,"$19,172,721",12.8,"$1,879,309,958",15.1

