PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",2,(X),48,(X)
"Number
  of Schools",13,(X),351,(X)
"Fall
  Enrollment","3,162",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",21.1,(X),19.7,(X)
"High
  School Graduates (4 year on time)",194,(X),"5,300",(X)
Graduation Rate,88.2%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","3,148",(X),"89,832",(X)
"Certified
  Teachers",241,(X),"7,350",(X)
"Certified
  Staff",37,(X),"1,538",(X)
Administration,26,(X),746,(X)
"Classified
  Staff",258,(X),"6,940",(X)
"Students
  Transported Daily","1,724",(X),"31,351",(X)
"Total
  General Fund Revenues","$48,741,374",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$48,430,239",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$17,234",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",35.7%,(X),37.6%,(X)

