POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"2,456",100.0,"576,412",100.0
Male,"1,119",45.6,"294,281",51.1
Female,"1,337",54.4,"282,131",48.9

Under 5 years,95,3.9,"38,592",6.7
5 to 9 years,109,4.4,"38,895",6.7
10 to 14 years,137,5.6,"36,286",6.3
15 to 19 years,135,5.5,"37,270",6.5
20 to 24 years,116,4.7,"42,591",7.4
25 to 29 years,146,5.9,"41,306",7.2
30 to 34 years,156,6.4,"39,793",6.9
35 to 39 years,131,5.3,"34,061",5.9
40 to 44 years,163,6.6,"34,207",5.9
45 to 49 years,162,6.6,"35,794",6.2
50 to 54 years,181,7.4,"43,170",7.5
55 to 59 years,242,9.9,"43,260",7.5
60 to 64 years,171,7.0,"35,679",6.2
65 to 69 years,138,5.6,"25,651",4.5
70 to 74 years,134,5.5,"17,863",3.1
75 to 79 years,105,4.3,"12,783",2.2
80 to 84 years,76,3.1,"9,990",1.7
85 years and over,59,2.4,"9,221",1.6

Under 18 years,426,17.3,"135,490",23.5
18 to 24 years,166,6.8,"58,144",10.1
25 to 44 years,596,24.3,"149,367",25.9
45 to 64 years,756,30.8,"157,903",27.4
65 years and over,512,20.8,"75,508",13.1

Median age (years),46.2,NA,36.9,NA

