PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number of
  School Districts",8,(X),48,(X)
"Number of
  Schools",31,(X),351,(X)
"Fall
  Enrollment","6,656",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",18.9,(X),19.7,(X)
"High
  School Graduates (4 year on time)",315,(X),"5,300",(X)
Graduation Rate,66.9%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","6,543",(X),"89,832",(X)
"Certified
  Teachers",582,(X),"7,350",(X)
"Certified
  Staff",131,(X),"1,538",(X)
Administration,81,(X),746,(X)
"Classified
  Staff",583,(X),"6,940",(X)
"Students
  Transported Daily","2,351",(X),"31,351",(X)
"Total
  General Fund Revenues","$125,369,688",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$121,063,455",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$21,163",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",50.6%,(X),37.6%,(X)

