"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out","2,069",100.0,"22,542",100.0
"to Larimer County, CO",311,15.0,386,1.7
"to Albany County, WY",295,14.3,906,4.0
"to Weld County, CO",258,12.5,327,1.5
"to Denver County, CO",129,6.2,242,1.1
"to Sweetwater County, WY",125,6.0,"3,333",14.8
to All Other Counties,951,46.0,"17,348",77.0

"Total
  Commuting In","3,569",100.0,"29,946",100.0
"from Larimer County, CO","1,004",28.1,"1,395",4.7
"from Weld County, CO",649,18.2,793,2.6
"from Albany County, WY",486,13.6,"1,164",3.9
"from Goshen County, WY",98,2.7,"1,235",4.1
"from Fremont County, WY",63,1.8,"1,017",3.4
from All Other Counties,"1,269",35.6,"24,342",81.3

