"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","1,013",100.0,"221,479",100.0
"Less than $10,000",103,10.2,"11,279",5.1
"$10,000 to $14,999",60,5.9,"10,717",4.8
"$15,000 to $24,999",145,14.3,"21,127",9.5
"$25,000 to $34,999",157,15.5,"22,992",10.4
"$35,000 to $49,999",149,14.7,"31,395",14.2
"$50,000 to $74,999",126,12.4,"44,135",19.9
"$75,000 to $99,999",138,13.6,"31,949",14.4
"$100,000 to $149,999",73,7.2,"32,413",14.6
"$150,000 to $199,999",40,3.9,"9,172",4.1
"$200,000 or more",22,2.2,"6,300",2.8
Median household income (dollars),"$39,107",(X),"$56,573",(X)
Mean household income (dollars),"$56,686",(X),"$70,836",(X)

With earnings,766,75.6,"184,013",83.1
Mean earnings (dollars),"$56,121",(X),"$69,147",(X)
With Social Security,405,40.0,"58,632",26.5
Mean Social Security income (dollars),"$16,129",(X),"$16,806",(X)
With retirement income,189,18.7,"35,970",16.2
Mean retirement income (dollars),"$14,520",(X),"$21,386",(X)

With Supplemental Security Income,60,5.9,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$4,195",(X),"$8,539",(X)
With cash public assistance income,4,0.4,"3,444",1.6
"Mean cash public assistance income
  (dollars)",$625,(X),"$3,374",(X)
With Food Stamp/SNAP benefits,122,12.0,"12,666",5.7

